CLUSTER,STRUCTURE
1,right_frontal_pole
1,right_middle_frontal_gyrus
2,right_angular_gyrus
2,right_inferior_frontal_gyrus_pars_opercularis
2,right_middle_temporal_gyrus_temporooccipital_part
2,right_superior_parietal_lobule
2,right_supramarginal_gyrus_posterior_division
3,left_cingulate_gyrus_posterior_division
3,right_cingulate_gyrus_posterior_division
3,right_cuneal_cortex
3,right_precuneous_cortex
4,left_middle_temporal_gyrus_posterior_division
4,left_superior_temporal_gyrus_posterior_division
5,right_inferior_temporal_gyrus_posterior_division
5,right_parahippocampal_gyrus_posterior_division
5,right_temporal_fusiform_cortex_posterior_division
6,right_pallidum
7,left_central_opercular_cortex
7,right_central_opercular_cortex
8,left_frontal_orbital_cortex
8,left_insular_cortex
8,right_frontal_operculum_cortex
8,right_frontal_orbital_cortex
8,right_inferior_frontal_gyrus_pars_triangularis
8,right_insular_cortex
9,left_temporal_fusiform_cortex_anterior_division
10,right_hippocampus
10,right_parahippocampal_gyrus_anterior_division
11,left_accumbens
12,right_inferior_temporal_gyrus_temporooccipital_part
12,right_lateral_occipital_cortex_inferior_division
12,right_occipital_fusiform_gyrus
12,right_occipital_pole
12,right_temporal_occipital_fusiform_cortex
13,right_heschls_gyrus
13,right_planum_polare
14,right_cingulate_gyrus_anterior_division
14,right_paracingulate_gyrus
14,right_supplementary_motor_cortex
15,left_brainstem
15,right_brainstem
16,right_temporal_fusiform_cortex_anterior_division
17,left_frontal_medial_cortex
17,right_frontal_medial_cortex
18,left_middle_frontal_gyrus
18,left_superior_frontal_gyrus
18,left_supplementary_motor_cortex
18,right_superior_frontal_gyrus
19,left_heschls_gyrus
19,left_parietal_operculum_cortex
19,left_planum_polare
19,left_planum_temporale
20,left_cuneal_cortex
20,left_intracalcarine_cortex
20,left_supracalcarine_cortex
21,right_subcallosal_cortex
22,right_accumbens
23,left_inferior_temporal_gyrus_temporooccipital_part
23,left_middle_temporal_gyrus_temporooccipital_part
23,left_temporal_occipital_fusiform_cortex
24,left_amygdala
24,left_hippocampus
24,left_parahippocampal_gyrus_anterior_division
25,right_middle_temporal_gyrus_anterior_division
25,right_middle_temporal_gyrus_posterior_division
25,right_superior_temporal_gyrus_anterior_division
26,left_angular_gyrus
26,left_lateral_occipital_cortex_superior_division
26,left_precuneous_cortex
26,left_superior_parietal_lobule
26,left_supramarginal_gyrus_posterior_division
26,right_lateral_occipital_cortex_superior_division
27,right_intracalcarine_cortex
27,right_lingual_gyrus
27,right_supracalcarine_cortex
28,left_caudate
29,left_subcallosal_cortex
30,left_pallidum
31,left_putamen
31,right_putamen
32,left_thalamus
32,right_thalamus
33,right_parietal_operculum_cortex
33,right_planum_temporale
33,right_superior_temporal_gyrus_posterior_division
34,right_inferior_temporal_gyrus_anterior_division
35,left_frontal_operculum_cortex
35,left_frontal_pole
35,left_inferior_frontal_gyrus_pars_opercularis
35,left_inferior_frontal_gyrus_pars_triangularis
36,left_temporal_pole
37,left_cerebellum
37,right_cerebellum
38,left_middle_temporal_gyrus_anterior_division
38,left_superior_temporal_gyrus_anterior_division
39,left_lateral_occipital_cortex_inferior_division
39,left_lingual_gyrus
39,left_occipital_fusiform_gyrus
39,left_occipital_pole
40,left_inferior_temporal_gyrus_posterior_division
40,left_temporal_fusiform_cortex_posterior_division
41,left_inferior_temporal_gyrus_anterior_division
42,right_amygdala
43,left_postcentral_gyrus
43,left_precentral_gyrus
43,left_supramarginal_gyrus_anterior_division
43,right_postcentral_gyrus
43,right_precentral_gyrus
43,right_supramarginal_gyrus_anterior_division
44,right_caudate
45,right_temporal_pole
46,left_parahippocampal_gyrus_posterior_division
47,left_cingulate_gyrus_anterior_division
47,left_paracingulate_gyrus
