CLUSTER,R,TOKEN,ROC_AUC
1,0.20944183045984865,hearing,0.5203621101878504
1,0.20084617169892247,speech,0.5203621101878504
1,0.19722817127000614,listening,0.5203621101878504
1,0.17949636368780592,speech_perception,0.5203621101878504
1,0.17333480690161954,speech_processing,0.5203621101878504
1,0.16812229971364293,tone,0.5203621101878504
1,0.15057629566155945,music,0.5203621101878504
1,0.14369710416534634,melody,0.5203621101878504
1,0.1434502717773987,passive_listening,0.5203621101878504
1,0.13530266493418025,auditory_perception,0.5203621101878504
1,0.1269329448124637,speech_production,0.5203621101878504
1,0.1267625933144261,audition,0.5203621101878504
1,0.12000609059271378,syllable,0.5203621101878504
1,0.111045632413886,prosody,0.5203621101878504
1,0.11005595560417186,intonation,0.5203621101878504
1,0.10956475490520468,painful_stimulation,0.5203621101878504
1,0.10955206262457297,pitch_discrimination,0.5203621101878504
2,0.13252079920791876,monitoring,0.5230490681287503
2,0.12579036025896045,arousal,0.5230490681287503
2,0.11433624852164855,anticipation,0.5230490681287503
2,0.11246649335631843,decision_making,0.5230490681287503
2,0.10776802099131558,cognitive_control,0.5230490681287503
2,0.10627550006897483,error_detection,0.5230490681287503
2,0.1020722141911115,reaction_time,0.5230490681287503
2,0.0987461081593846,reward,0.5230490681287503
2,0.09747191936263022,valence,0.5230490681287503
2,0.09697682874217246,pain,0.5230490681287503
2,0.09547963219328053,cognitive_process,0.5230490681287503
2,0.0953173347172884,response_selection,0.5230490681287503
2,0.09093825160236736,strategy,0.5230490681287503
2,0.09008554153284136,salience,0.5230490681287503
2,0.08858267094479205,expectancy,0.5230490681287503
2,0.08723300716532863,cognitive,0.5230490681287503
2,0.08629764755901577,interoception,0.5230490681287503
2,0.08604862709584714,emotion,0.5230490681287503
2,0.08462929376212609,context,0.5230490681287503
2,0.08352117345436214,working_memory,0.5230490681287503
2,0.08278156953590067,response_inhibition,0.5230490681287503
2,0.08268641954245763,performance_monitoring,0.5230490681287503
2,0.08213933045373455,manipulation,0.5230490681287503
2,0.08169158075267131,goal,0.5230490681287503
2,0.08167883971721109,decision,0.5230490681287503
3,0.1859529058318364,memory,0.5112913755000768
3,0.1708215362612456,retrieval,0.5112913755000768
3,0.1678602106691478,episodic_memory,0.5112913755000768
3,0.15810670567559293,recognition_memory,0.5112913755000768
3,0.15456416703161355,remembering,0.5112913755000768
3,0.15230783617918192,familiarity,0.5112913755000768
3,0.15222528300864474,recognition,0.5112913755000768
3,0.13982489110355412,declarative_memory,0.5112913755000768
3,0.1397270885921422,encoding,0.5112913755000768
3,0.13718398785875707,semantic_memory,0.5112913755000768
3,0.12730047589880186,picture,0.5112913755000768
3,0.12711009839468268,semantic_processing,0.5112913755000768
3,0.12605533909598354,semantic_knowledge,0.5112913755000768
3,0.12358456721278732,recall,0.5112913755000768
3,0.11996338207951472,source_memory,0.5112913755000768
3,0.11822239283154028,encoding_task,0.5112913755000768
3,0.11793635595836215,word,0.5112913755000768
3,0.10789601338985633,naming,0.5112913755000768
3,0.10724236898047494,forgetting,0.5112913755000768
3,0.10533041170662684,longterm_memory,0.5112913755000768
3,0.10500641108228216,memory_retrieval,0.5112913755000768
3,0.10471295492808347,semantic_information,0.5112913755000768
3,0.10369363472835924,episodic_simulation,0.5112913755000768
3,0.10194191141827294,memory_process,0.5112913755000768
3,0.10134209672865106,face_perception,0.5112913755000768
4,0.1739931511174856,execution,0.5371700120115082
4,0.16308786813463588,hand,0.5371700120115082
4,0.1410742249813246,spatial_attention,0.5371700120115082
4,0.1394533978761292,grasping,0.5371700120115082
4,0.13701796969832036,attention,0.5371700120115082
4,0.13463481155658186,movement,0.5371700120115082
4,0.13290445886759406,representation,0.5371700120115082
4,0.129549157615685,manipulation,0.5371700120115082
4,0.12676230154325313,action,0.5371700120115082
4,0.12439750502839025,grasp,0.5371700120115082
4,0.1161862548544245,working_memory,0.5371700120115082
4,0.11238652247323294,mental_representation,0.5371700120115082
4,0.1112941836547776,rehearsal,0.5371700120115082
4,0.1112675771479644,eye,0.5371700120115082
4,0.11071079104994858,covert,0.5371700120115082
4,0.1084719918559675,intention,0.5371700120115082
4,0.10792215549058974,vision,0.5371700120115082
4,0.10630079546644676,visual_attention,0.5371700120115082
4,0.1058386234709228,visuospatial_attention,0.5371700120115082
4,0.10549658502361392,planning,0.5371700120115082
4,0.10309342036154004,strategy,0.5371700120115082
4,0.10308960045612674,eye_movement,0.5371700120115082
4,0.10186617927411354,response_selection,0.5371700120115082
4,0.10049684147562757,arm,0.5371700120115082
4,0.09998656067313784,reaction_time,0.5371700120115082
5,0.2043198475361908,emotion,0.5100771024517026
5,0.20294468738832247,fear,0.5100771024517026
5,0.18139278509943185,memory,0.5100771024517026
5,0.17399088385842104,valence,0.5100771024517026
5,0.1711097822342266,facial_expression,0.5100771024517026
5,0.1653978625615008,declarative_memory,0.5100771024517026
5,0.15992955473094544,arousal,0.5100771024517026
5,0.1584959296670077,emotional_memory,0.5100771024517026
5,0.15263264457501205,episodic_memory,0.5100771024517026
5,0.14689403843590856,recognition_memory,0.5100771024517026
5,0.14499935081998286,face,0.5100771024517026
5,0.14110295771087825,remembering,0.5100771024517026
5,0.13465006629213305,emotional_expression,0.5100771024517026
6,0.15760594581796888,execution,0.5378821724428344
6,0.15561677623639927,working_memory,0.5378821724428344
6,0.13233232838270578,rehearsal,0.5378821724428344
6,0.12880318752821746,manipulation,0.5378821724428344
6,0.12321988704008942,reaction_time,0.5378821724428344
6,0.11747346538643208,monitoring,0.5378821724428344
6,0.1127655810064144,strategy,0.5378821724428344
6,0.11194818280833074,movement,0.5378821724428344
6,0.10900983839877937,motor_control,0.5378821724428344
6,0.1085560567742645,hand,0.5378821724428344
6,0.10826107780977086,cognitive_process,0.5378821724428344
6,0.10780996722894788,covert,0.5378821724428344
6,0.1040878677698025,action,0.5378821724428344
6,0.10381701117726667,response_selection,0.5378821724428344
6,0.10154585126688627,cognitive_control,0.5378821724428344
6,0.1009824917890349,retrieval,0.5378821724428344
6,0.10086484461656946,preparation,0.5378821724428344
6,0.09958028036290394,language,0.5378821724428344
6,0.09716784065554268,planning,0.5378821724428344
6,0.09655974633059014,spatial_working_memory,0.5378821724428344
6,0.0963717770925772,word,0.5378821724428344
6,0.09368325115671597,goal,0.5378821724428344
6,0.09348230846770014,motor_planning,0.5378821724428344
6,0.09332847615395076,maintenance,0.5378821724428344
6,0.0918741929347141,semantic_processing,0.5378821724428344
7,0.2618924676583185,speech,0.5187331141568517
7,0.2272971561976665,speech_perception,0.5187331141568517
7,0.2260772589654626,speech_processing,0.5187331141568517
7,0.2252565073321177,listening,0.5187331141568517
7,0.22167307191604085,hearing,0.5187331141568517
7,0.22029555189675007,language,0.5187331141568517
7,0.203705335389006,language_processing,0.5187331141568517
7,0.17437369051230914,syllable,0.5187331141568517
7,0.16903780803354124,language_comprehension,0.5187331141568517
7,0.16799380125077745,semantic_processing,0.5187331141568517
7,0.15917185266792447,word,0.5187331141568517
7,0.15738168113520687,semantics,0.5187331141568517
7,0.1561526451248526,speech_production,0.5187331141568517
7,0.15014502369970292,prosody,0.5187331141568517
7,0.14998065244375205,sentence_processing,0.5187331141568517
7,0.14678770315728493,passive_listening,0.5187331141568517
7,0.14604928170613346,music,0.5187331141568517
7,0.14251432768830868,syntax,0.5187331141568517
7,0.14028764296369686,sentence_comprehension,0.5187331141568517
7,0.1399493301430624,auditory_perception,0.5187331141568517
7,0.13878696120985778,tone,0.5187331141568517
7,0.1374781947868317,intonation,0.5187331141568517
7,0.13076152658485218,phonology,0.5187331141568517
7,0.12921877711932134,meaning,0.5187331141568517
7,0.12901439205717108,melody,0.5187331141568517
8,0.19055093374279736,face_perception,0.5310490803768773
