,OBSERVED,P,FDR,STARS
MEMORY,0.33810435572730374,0.0,0.0,*
REWARD,0.32276451460924027,0.0,0.0,*
COGNITION,0.3561325489379985,0.0,0.0,*
VISION,0.3878219644364145,0.0,0.0,*
MANIPULATION,0.4133529457296557,0.0,0.0,*
LANGUAGE,0.4004748912085111,0.0,0.0,*
