,OBSERVED,P,FDR,STARS
MEMORY,0.3411500469228914,0.0,0.0,*
EPISODIC_MEMORY,0.3384893469775127,0.0,0.0,*
REWARD,0.3153543576913229,0.0,0.0,*
COGNITION,0.3722291480937042,0.0,0.0,*
VISION,0.36718391417683427,0.0,0.0,*
MANIPULATION,0.3737287571064415,0.0,0.0,*
EXECUTION,0.3450187858908022,0.0,0.0,*
HEARING,0.37422031464478756,0.0,0.0,*
LANGUAGE,0.37212210026312836,0.0,0.0,*
