,OBSERVED,P,FDR,STARS
NEGATIVE_VALENCE,0.35480877009079465,0.0,0.0,*
POSITIVE_VALENCE,0.33377973017510426,0.0,0.0,*
AROUSAL_REGULATION,0.25311108275983346,0.0,0.0,*
SOCIAL_PROCESSES,0.3322985097278152,0.0,0.0,*
COGNITIVE_SYSTEMS,0.4055900767389521,0.0,0.0,*
SENSORIMOTOR_SYSTEMS,0.40384748274976306,0.0,0.0,*
