,OBSERVED,P,FDR,STARS
DEPRESSIVE,0.2751634186410595,0.0,0.0,*
ANXIETY,0.27797923977878775,0.0,0.0,*
TRAUMA_STRESSOR,0.2917713235657435,0.0,0.0,*
OBSESSIVE_COMPULSIVE,0.19977711836541417,0.0,0.0,*
DISRUPTIVE,0.2583688322391732,0.0,0.0,*
SUBSTANCE,0.2213517289030256,0.0,0.0,*
DEVELOPMENTAL,0.34270668917392616,0.0,0.0,*
PSYCHOTIC,0.24916164558907355,0.0,0.0,*
BIPOLAR,0.19877880424168431,0.0,0.0,*
