,OBSERVED,P,FDR,STARS
MEMORY,0.3483911182747535,0.0,0.0,*
REWARD,0.31677788704339493,0.0,0.0,*
COGNITION,0.341681259430351,0.0,0.0,*
VISION,0.3760900534938762,0.0,0.0,*
MANIPULATION,0.4043216050898069,0.0,0.0,*
LANGUAGE,0.40288800062625557,0.0,0.0,*
