,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,OPTIMAL
DEVELOPMENTAL,0.8428779272758847,0.8741422759101435,0.8767219958745092,0.8584706391990538,0.858790045105883,0.8603723765208934,0.889260339404085,0.8934532855545134,0.900742643198643,0.9071039558375944,0.9107916728981258,0.9145055812276165,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,0.9076857868559026,16
PSYCHOTIC,0.923091663071104,0.9129058669660686,0.9303499877142009,0.9648348730837438,0.959343060952648,0.9487483083117826,0.9474142786606821,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,0.9451165596344443,8
BIPOLAR,0.935946952335127,0.9352276016329766,0.9385264315665027,0.9361611394301964,0.9302632073009857,0.9165848544143985,0.9111600244780289,0.9046813978472822,0.9001108265892197,0.9037563929630109,0.9082086199369278,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,0.8975513250748122,7
DEPRESSIVE,0.8785189844972908,0.8670778205683018,0.8626433929712828,0.868945744359045,0.8742440300007708,0.886620987410507,0.8714418023327487,0.8742320256507948,0.8795888109963373,0.8844654931104659,0.8926889925411527,0.8879551949763589,0.878437019979939,0.8796328232064231,0.8870790381145551,0.8883024538317776,0.8883024538317776,0.8883024538317776,0.8883024538317776,0.8883024538317776,0.8883024538317776,15
ANXIETY,0.969205814431573,0.9775006667611997,0.9870073489023439,0.9831795346123586,0.9757688817962064,0.9909202264959053,0.9845369823847566,0.9818212015041933,0.9800417565614825,0.9745194399922816,0.9720112132679616,0.9688813290313844,0.9703185107706584,0.9688553298591669,0.9684383872854796,0.9684383872854796,0.9684383872854796,0.9684383872854796,0.9684383872854796,0.9684383872854796,0.9684383872854796,10
OBSESSIVE_COMPULSIVE,0.8955316890369214,0.9174709933272001,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,0.9541862118898073,7
TRAUMA_STRESSOR,1.0,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,0.9849145498510011,5
DISSOCIATIVE,0.9185718674981724,0.9809690921797893,0.9606845195794206,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,0.9467333232718518,6
SOMATIC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
EATING,0.9635356869513917,0.9520870299767108,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,0.9404893178424278,5
ELIMINATION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
SLEEP,0.9194171271807053,0.9425771388920916,0.9337830334378243,0.9225484275526347,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,0.9180039872589761,6
SEXUAL,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,0.9454396405034656,5
GENDER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
DISRUPTIVE,0.898521858498956,0.9302999890424015,0.9278531140316426,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,0.943144461585206,8
