,LOSS
0,0.6502683162689209
1,0.6366237998008728
2,0.62863689661026
3,0.6222323179244995
4,0.6227060556411743
5,0.6216437816619873
6,0.6225069761276245
7,0.6191601753234863
8,0.6198200583457947
9,0.6209366917610168
10,0.6187090873718262
11,0.6196122765541077
12,0.6186551451683044
13,0.6163957118988037
14,0.6179813742637634
15,0.6192606687545776
16,0.6190008521080017
17,0.6175282597541809
18,0.6209705471992493
19,0.6198936104774475
20,0.6179422736167908
21,0.6173785924911499
22,0.6185435652732849
23,0.6171358823776245
24,0.6203666925430298
25,0.6164551973342896
26,0.6171780824661255
27,0.6186110973358154
28,0.6190990805625916
29,0.6176975965499878
30,0.6173373460769653
31,0.6140411496162415
32,0.6167172193527222
33,0.6163855791091919
34,0.6168612837791443
35,0.6176289916038513
36,0.6162503361701965
37,0.6167093515396118
38,0.616291880607605
39,0.616391658782959
40,0.6167199611663818
41,0.615742564201355
42,0.6173174977302551
43,0.61710125207901
44,0.6179074048995972
45,0.6158856153488159
46,0.6172083020210266
47,0.6154047250747681
48,0.6164237260818481
49,0.618280827999115
50,0.6153706312179565
51,0.616385817527771
52,0.6180209517478943
53,0.6158567070960999
54,0.614992082118988
55,0.617874801158905
56,0.6177125573158264
57,0.6136325001716614
58,0.6141751408576965
59,0.6149799823760986
60,0.618505597114563
61,0.6161596179008484
62,0.6165367364883423
63,0.6159958839416504
64,0.6155699491500854
65,0.6180465817451477
66,0.6168045997619629
67,0.6169340014457703
68,0.6186328530311584
69,0.6181879043579102
70,0.6160654425621033
71,0.6159495711326599
72,0.6164807677268982
73,0.6145129203796387
74,0.6164306998252869
75,0.6153255105018616
76,0.6135737895965576
77,0.6179571151733398
78,0.6164604425430298
79,0.6148998141288757
80,0.6163842082023621
81,0.6157737374305725
82,0.6149558424949646
83,0.6173475384712219
84,0.615933358669281
85,0.6152958273887634
86,0.6152834892272949
87,0.6151082515716553
88,0.619033694267273
89,0.6161451935768127
90,0.6151978373527527
91,0.6140504479408264
92,0.6157895922660828
93,0.61595618724823
94,0.616552472114563
95,0.61423259973526
96,0.6169108152389526
97,0.6161547303199768
98,0.6158400177955627
99,0.6147798299789429
100,0.616989016532898
101,0.6189693212509155
102,0.6158425807952881
103,0.6163429617881775
104,0.6141629815101624
105,0.6174212694168091
106,0.6158652901649475
107,0.6167903542518616
108,0.6163552403450012
109,0.6177749633789062
110,0.6147775053977966
111,0.6143257021903992
112,0.616117537021637
113,0.6159803867340088
114,0.6160359978675842
115,0.6153831481933594
116,0.6175376176834106
117,0.615607738494873
118,0.6156830191612244
119,0.6175312399864197
120,0.6163488626480103
121,0.61428302526474
122,0.6156169176101685
123,0.6157909035682678
124,0.6146104335784912
125,0.6159268617630005
126,0.6161054372787476
127,0.6171572208404541
128,0.6161284446716309
129,0.6151902079582214
130,0.6163622736930847
131,0.6165669560432434
132,0.616136908531189
133,0.6155083775520325
134,0.6165574789047241
135,0.6167806386947632
136,0.6152917742729187
137,0.617344081401825
138,0.6172788739204407
139,0.614590585231781
140,0.6153658628463745
141,0.6168181300163269
142,0.6157448291778564
143,0.6150844097137451
144,0.6163972616195679
145,0.6152352690696716
146,0.6167884469032288
147,0.61577969789505
148,0.6155620813369751
149,0.6154428124427795
150,0.6169103384017944
151,0.6140199303627014
152,0.6166008114814758
153,0.6167481541633606
154,0.6146374940872192
155,0.6150020360946655
156,0.6180481314659119
157,0.617235004901886
158,0.615635335445404
159,0.6149944067001343
160,0.6177710294723511
161,0.6153693795204163
162,0.6164789795875549
163,0.6147629022598267
164,0.6142549514770508
165,0.6153014302253723
166,0.6150063872337341
167,0.6168243885040283
168,0.6163266897201538
169,0.6153365969657898
170,0.6161549091339111
171,0.6187434792518616
172,0.6138915419578552
173,0.618280291557312
174,0.6165446639060974
175,0.615309476852417
176,0.6146740317344666
177,0.6144986152648926
178,0.6161193251609802
179,0.6160117983818054
180,0.6145842671394348
181,0.616380512714386
182,0.614711344242096
183,0.6153119206428528
184,0.6157874464988708
185,0.6173232793807983
186,0.6155084371566772
187,0.6145641803741455
188,0.61784428358078
189,0.6163814663887024
190,0.613355278968811
191,0.6155477166175842
192,0.6161558628082275
193,0.6156485080718994
194,0.6171876788139343
195,0.6155376434326172
196,0.6161807775497437
197,0.6152960062026978
198,0.6148327589035034
199,0.6161014437675476
200,0.6166074275970459
201,0.6157328486442566
202,0.6135798692703247
203,0.6131001114845276
204,0.6161392331123352
205,0.6147575974464417
206,0.6177065372467041
207,0.614939272403717
208,0.6164727210998535
209,0.6154376864433289
210,0.6162022948265076
211,0.6159752011299133
212,0.6161181330680847
213,0.6140645146369934
214,0.6162539720535278
215,0.6159804463386536
216,0.6137533783912659
217,0.615885317325592
218,0.6153615713119507
219,0.6174584627151489
220,0.6146411895751953
221,0.6161220073699951
222,0.6143492460250854
223,0.6139389276504517
224,0.61541748046875
225,0.6149917840957642
226,0.616519033908844
227,0.6143667101860046
228,0.6157137155532837
229,0.6170063614845276
230,0.6163752675056458
231,0.6142913103103638
232,0.6151964068412781
233,0.615505039691925
234,0.6139899492263794
235,0.6139890551567078
236,0.6144047975540161
237,0.6158202886581421
238,0.61305171251297
239,0.6153286695480347
240,0.6139819025993347
241,0.6163589954376221
242,0.6144299507141113
243,0.615425705909729
244,0.6149851679801941
245,0.6154114603996277
246,0.6170849800109863
247,0.6148737668991089
248,0.6153734922409058
249,0.6169021129608154
