,OBSERVED,P,FDR,STARS
MEMORY,1.090973249497855,0.0,0.0,*
REWARD,1.05984716961197,0.0,0.0,*
COGNITION,1.029684016881452,0.0,0.0,*
VISION,1.1075514252134242,0.0,0.0,*
MANIPULATION,1.1887161112818383,0.0,0.0,*
LANGUAGE,1.1448993291136402,0.0,0.0,*
