,OBSERVED,P,FDR,STARS
MEMORY,1.0608438489429537,0.0,0.0,*
REWARD,1.093542178202546,0.0,0.0,*
REACTION_TIME,1.0345624405034042,0.0,0.0,*
MANIPULATION,1.1606340930484829,0.0,0.0,*
VISION,1.1012660874609623,0.0,0.0,*
HEARING,1.12983473825496,0.0,0.0,*
