,PMID,SPLIT,DOMAIN,OBSERVED
111,17604009,discovery,MEMORY,1.1301495281447986
112,17604351,discovery,MEMORY,1.2765205565205207
113,17644222,discovery,MEMORY,1.0488354386123486
114,17676059,discovery,MEMORY,0.9949474142107197
115,17712410,discovery,MEMORY,1.107635431664669
116,17766762,discovery,MEMORY,0.9661189653899638
117,17767510,discovery,MEMORY,1.126119649810261
118,17888687,discovery,MEMORY,1.1131551993598847
119,17905600,discovery,MEMORY,1.0493392090620317
120,17915264,discovery,MEMORY,1.0117013979762959
121,17955021,discovery,MEMORY,1.0220584129089663
122,17964185,discovery,MEMORY,1.0242955525122925
123,17967171,discovery,MEMORY,1.0435017965488937
124,17993209,discovery,MEMORY,1.270689092755975
125,18039046,discovery,MEMORY,1.0907917346222342
126,18055028,discovery,MEMORY,0.9939427814440824
127,18181882,discovery,MEMORY,1.0964116158314847
128,18256251,discovery,MEMORY,1.0375488383326272
129,18261930,discovery,MEMORY,1.060893056379779
130,18295746,discovery,MEMORY,1.1241849982474637
131,18308706,discovery,MEMORY,1.027309546448188
132,18308711,discovery,MEMORY,1.068624756931116
133,18310578,discovery,MEMORY,1.0263002041891969
134,18321537,discovery,MEMORY,1.0336714639673041
135,18374902,discovery,MEMORY,1.0854988700845416
136,18375529,discovery,MEMORY,0.9933024637333744
137,18385483,discovery,MEMORY,1.1339974966761381
138,18422840,discovery,MEMORY,1.0501151009629295
139,18445024,discovery,MEMORY,1.153275619429491
140,18479717,discovery,MEMORY,1.236091113791499
141,18486975,discovery,MEMORY,1.0680500900047212
142,18490926,discovery,MEMORY,1.191781883694006
143,18562616,discovery,MEMORY,0.9747546923199256
144,18564045,discovery,MEMORY,1.0978635553020968
145,18698355,discovery,MEMORY,1.0197783795232533
146,18703030,discovery,MEMORY,0.945887699438494
147,18760691,discovery,MEMORY,0.969425712339108
148,18767918,discovery,MEMORY,1.0145811068988044
149,18823232,discovery,MEMORY,1.151132159042621
150,18838100,discovery,MEMORY,1.112243702469008
151,18854439,discovery,MEMORY,1.0023764471843917
152,18855557,discovery,MEMORY,1.0233204490506889
153,18922517,discovery,MEMORY,1.0321643111634953
154,18950748,discovery,MEMORY,1.0380414429247422
155,18984835,discovery,MEMORY,0.9302384052447489
156,19008895,discovery,MEMORY,1.0744140351812568
157,19036981,discovery,MEMORY,1.1951201559223863
158,19058793,discovery,MEMORY,1.0689811961289748
159,19061904,discovery,MEMORY,1.0439264919191975
160,19071144,discovery,MEMORY,1.091607925263109
161,19126572,discovery,MEMORY,0.9838785046575623
162,19128945,discovery,MEMORY,1.0470340468419326
163,19129391,discovery,MEMORY,0.9578107278063757
164,19151375,discovery,MEMORY,1.0242274194404897
165,19162206,discovery,MEMORY,1.050809179353477
166,19190042,discovery,MEMORY,1.1382895878968657
