,OBSERVED,P,FDR,STARS
MEMORY,1.0623239221477034,0.0,0.0,*
REWARD,1.1066977388881272,0.0,0.0,*
REACTION_TIME,1.0399742472730364,0.0,0.0,*
MANIPULATION,1.1577799257664456,0.0,0.0,*
VISION,1.1003236079146328,0.0,0.0,*
LANGUAGE,1.135409190552723,0.0,0.0,*
