,OBSERVED,P,FDR,STARS
NEGATIVE_VALENCE,1.048732330456185,0.0,0.0,*
POSITIVE_VALENCE,1.0492243117943283,0.0,0.0,*
AROUSAL_REGULATION,1.0354459398128635,0.0,0.0,*
SOCIAL_PROCESSES,1.0568568072373528,0.0,0.0,*
COGNITIVE_SYSTEMS,1.1245010544756158,0.0,0.0,*
SENSORIMOTOR_SYSTEMS,1.068773609246841,0.0,0.0,*
