,OBSERVED,P,FDR,STARS
NEGATIVE_VALENCE,0.35527500214658897,0.0,0.0,*
POSITIVE_VALENCE,0.32934344975591895,0.0,0.0,*
AROUSAL_REGULATION,0.24189941079066324,0.0,0.0,*
SOCIAL_PROCESSES,0.32123772932043887,0.0,0.0,*
COGNITIVE_SYSTEMS,0.40793163262341414,0.0,0.0,*
SENSORIMOTOR_SYSTEMS,0.40861796848126347,0.0,0.0,*
