,OBSERVED,P,FDR,STARS
MEMORY,0.3327222063043362,0.0,0.0,*
REWARD,0.3238257031739025,0.0,0.0,*
REACTION_TIME,0.3636082515285179,0.0,0.0,*
MANIPULATION,0.42666854574195245,0.0,0.0,*
VISION,0.38598631484152607,0.0,0.0,*
LANGUAGE,0.41616435609595903,0.0,0.0,*
