,OBSERVED,P,FDR,STARS
DEPRESSIVE,0.27609778474267876,0.0,0.0,*
ANXIETY,0.27513531955516857,0.0,0.0,*
TRAUMA_STRESSOR,0.3085983437929102,0.0,0.0,*
OBSESSIVE_COMPULSIVE,0.20742767716790847,0.0,0.0,*
DISRUPTIVE,0.25076107428263184,0.0,0.0,*
SUBSTANCE,0.21531780242748258,0.0,0.0,*
DEVELOPMENTAL,0.342633956229986,0.0,0.0,*
PSYCHOTIC,0.24715490354508396,0.0,0.0,*
BIPOLAR,0.19125002721568918,0.0,0.0,*
