,1,2,3,4,5,6,7
EMOTION,,,,,***,,
ANTICIPATION,,,,,***,,
COGNITION,,,,***,***,***,***
VISION,***,,***,,,,
MANIPULATION,,***,***,***,,***,***
MEANING,,,,,***,,***
LANGUAGE,,***,,***,***,,***
