,1,2,3,4,5,6,7
EMOTION,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ANTICIPATION,1.0,1.0,1.0,1.0,0.0,1.0,1.0
COGNITION,1.0,1.0,1.0,0.0,0.0,0.0,0.0
VISION,0.0,1.0,0.0,1.0,1.0,1.0,1.0
MANIPULATION,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MEANING,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LANGUAGE,1.0,0.0,1.0,0.0,0.0,1.0,0.0
