,1,2,3,4,5,6,7
MEMORY,1.0,1.0,1.0,1.0,0.0,1.0,1.0
REWARD,1.0,1.0,1.0,1.0,0.0,1.0,0.0
REACTION_TIME,1.0,1.0,1.0,0.0,0.0,0.0,0.0
MANIPULATION,1.0,0.0,0.0,0.0,1.0,0.0,0.0
VISION,0.0,1.0,1.0,1.0,1.0,1.0,1.0
LANGUAGE,1.0,0.0,1.0,0.0,0.0,1.0,0.0
