CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,memory,0.200400292656652,0.6593761804950902,MEMORY,Memory
1,episodic_memory,0.17716153208733887,0.6593761804950902,MEMORY,Memory
1,declarative_memory,0.16832193351330085,0.6593761804950902,MEMORY,Memory
1,recognition_memory,0.16691560477064274,0.6593761804950902,MEMORY,Memory
1,remembering,0.16114982800271588,0.6593761804950902,MEMORY,Memory
1,recognition,0.15384157503681184,0.6593761804950902,MEMORY,Memory
1,retrieval,0.14891800742191022,0.6593761804950902,MEMORY,Memory
1,emotion,0.14634339927793916,0.6593761804950902,MEMORY,Memory
1,encoding,0.14321108184866715,0.6593761804950902,MEMORY,Memory
1,picture,0.14040021894345087,0.6593761804950902,MEMORY,Memory
1,emotional_memory,0.13903848347371162,0.6593761804950902,MEMORY,Memory
1,fear,0.13864463745571085,0.6593761804950902,MEMORY,Memory
1,recall,0.1336327238112595,0.6593761804950902,MEMORY,Memory
1,familiarity,0.13083022147036485,0.6593761804950902,MEMORY,Memory
1,face,0.12772444941610378,0.6593761804950902,MEMORY,Memory
1,facial_expression,0.12683657271397306,0.6593761804950902,MEMORY,Memory
1,source_memory,0.12643717904927626,0.6593761804950902,MEMORY,Memory
1,autobiographical_memory,0.1249017191511674,0.6593761804950902,MEMORY,Memory
1,valence,0.12330134031445658,0.6593761804950902,MEMORY,Memory
1,encoding_task,0.12327971582058213,0.6593761804950902,MEMORY,Memory
1,memory_process,0.12200250651014224,0.6593761804950902,MEMORY,Memory
1,episodic_simulation,0.12141637587247495,0.6593761804950902,MEMORY,Memory
1,forgetting,0.1136886674488198,0.6593761804950902,MEMORY,Memory
1,semantic_memory,0.11037011520657243,0.6593761804950902,MEMORY,Memory
2,speech,0.2490599801219003,0.6564888143815277,HEARING,Hearing
2,hearing,0.2389018541545655,0.6564888143815277,HEARING,Hearing
2,listening,0.233502212161118,0.6564888143815277,HEARING,Hearing
2,speech_perception,0.2227765484452818,0.6564888143815277,HEARING,Hearing
2,speech_processing,0.2203378381459752,0.6564888143815277,HEARING,Hearing
3,execution,0.1317431895907676,0.6225707808869421,VISION,Vision
3,manipulation,0.12719266948846655,0.6225707808869421,VISION,Vision
3,covert,0.12656940200419942,0.6225707808869421,VISION,Vision
3,spatial_attention,0.12029409426268994,0.6225707808869421,VISION,Vision
3,vision,0.11888283421797954,0.6225707808869421,VISION,Vision
3,retrieval,0.11683395714492273,0.6225707808869421,VISION,Vision
3,representation,0.11612939112593187,0.6225707808869421,VISION,Vision
3,reaction_time,0.11472937930453707,0.6225707808869421,VISION,Vision
3,visual_attention,0.11470870982255252,0.6225707808869421,VISION,Vision
3,attention,0.11449792403838427,0.6225707808869421,VISION,Vision
3,eye,0.10882481955516077,0.6225707808869421,VISION,Vision
3,strategy,0.10817496284678042,0.6225707808869421,VISION,Vision
3,rehearsal,0.10585424112836232,0.6225707808869421,VISION,Vision
3,grasping,0.10425955634647743,0.6225707808869421,VISION,Vision
3,action,0.10257138015175343,0.6225707808869421,VISION,Vision
3,goal,0.10204205532624512,0.6225707808869421,VISION,Vision
3,memory,0.10144445971361947,0.6225707808869421,VISION,Vision
3,familiarity,0.10113193583128688,0.6225707808869421,VISION,Vision
3,imagery,0.10044105646352114,0.6225707808869421,VISION,Vision
3,hand,0.10034786136996114,0.6225707808869421,VISION,Vision
3,visual_imagery,0.09981346549544268,0.6225707808869421,VISION,Vision
3,working_memory,0.09883645536454287,0.6225707808869421,VISION,Vision
4,reward,0.17838761620111804,0.6230688867851287,AROUSAL,Arousal
4,anticipation,0.15332453050486533,0.6230688867851287,AROUSAL,Arousal
4,reward_processing,0.13786456445239012,0.6230688867851287,AROUSAL,Arousal
4,arousal,0.1330011773141741,0.6230688867851287,AROUSAL,Arousal
4,decision_making,0.12847161312829308,0.6230688867851287,AROUSAL,Arousal
4,reward_anticipation,0.12442727761261305,0.6230688867851287,AROUSAL,Arousal
4,valence,0.11711094402795486,0.6230688867851287,AROUSAL,Arousal
4,expectancy,0.11291242345185168,0.6230688867851287,AROUSAL,Arousal
4,monitoring,0.1106862963684806,0.6230688867851287,AROUSAL,Arousal
4,salience,0.11068163378404687,0.6230688867851287,AROUSAL,Arousal
4,monetary_incentive_delay_task,0.09217214866449264,0.6230688867851287,AROUSAL,Arousal
4,pain,0.09209803779529682,0.6230688867851287,AROUSAL,Arousal
