CLUSTER,TOKEN,R,ROC_AUC
1,face_perception,0.14226145786890004,0.6252365182788775
1,recognition,0.13107107777957352,0.6252365182788775
1,familiarity,0.12590427015730765,0.6252365182788775
1,object_recognition,0.12121726062186945,0.6252365182788775
1,vision,0.12112564315019406,0.6252365182788775
2,hand,0.1949644310823896,0.6190936761137165
2,execution,0.1772139099993182,0.6190936761137165
2,movement,0.1672921347425376,0.6190936761137165
2,arm,0.1351381561629172,0.6190936761137165
2,grasping,0.1324698672976819,0.6190936761137165
3,word,0.1823630837197795,0.6261739341558623
3,semantic_processing,0.17550480174075128,0.6261739341558623
3,language,0.17447979210683964,0.6261739341558623
3,semantics,0.1587640014685953,0.6261739341558623
3,language_processing,0.15723119466606447,0.6261739341558623
3,retrieval,0.14305154577826265,0.6261739341558623
3,sentence_comprehension,0.13914380879023475,0.6261739341558623
3,sentence_processing,0.1369884929770881,0.6261739341558623
3,language_comprehension,0.13417261246300974,0.6261739341558623
3,syntax,0.13394266752830394,0.6261739341558623
3,meaning,0.13289500764458,0.6261739341558623
3,phonological_processing,0.13039835929406907,0.6261739341558623
3,phonology,0.12768896349138426,0.6261739341558623
3,working_memory,0.1264136481577564,0.6261739341558623
3,reading,0.12243719550822788,0.6261739341558623
3,semantic_knowledge,0.1216300794537198,0.6261739341558623
3,semantic_information,0.11799956436408665,0.6261739341558623
3,syntactic_processing,0.11721533361659744,0.6261739341558623
4,episodic_memory,0.14545670676468106,0.5932563578797816
4,autobiographical_memory,0.1375670266640867,0.5932563578797816
4,memory,0.12523206623414426,0.5932563578797816
4,remembering,0.11917497789835862,0.5932563578797816
4,memory_retrieval,0.11858951448476295,0.5932563578797816
4,retrieval,0.11460691599301917,0.5932563578797816
4,prospection,0.10662314406630223,0.5932563578797816
4,episodic_simulation,0.09671972759584573,0.5932563578797816
5,speech,0.1998958660933916,0.6241004555684228
5,speech_perception,0.1937264890999633,0.6241004555684228
5,speech_processing,0.18374713538825627,0.6241004555684228
5,hearing,0.18304251107964964,0.6241004555684228
5,listening,0.17637663083690114,0.6241004555684228
6,fear,0.14009300697509494,0.6133669860417235
6,emotion,0.1320221652065533,0.6133669860417235
6,declarative_memory,0.11707392861102185,0.6133669860417235
6,facial_expression,0.11177119860089553,0.6133669860417235
6,valence,0.1089248210327737,0.6133669860417235
6,memory,0.10740334255732667,0.6133669860417235
6,emotional_memory,0.10587816041523017,0.6133669860417235
6,arousal,0.10208051706452603,0.6133669860417235
6,face,0.09961859727169732,0.6133669860417235
7,monitoring,0.15772158899234073,0.5985495531134628
7,error_detection,0.11099379785055584,0.5985495531134628
7,decision_making,0.11062486783301427,0.5985495531134628
7,cognitive_control,0.10895685310480814,0.5985495531134628
7,response_selection,0.10784199857405337,0.5985495531134628
7,performance_monitoring,0.09433455225372346,0.5985495531134628
7,cognitive_process,0.08729746306389666,0.5985495531134628
8,reward,0.14364260206352394,0.5857816401155286
8,reward_processing,0.11394488756537545,0.5857816401155286
8,reward_anticipation,0.09979816838067747,0.5857816401155286
8,anticipation,0.09240521143829786,0.5857816401155286
8,decision_making,0.07816999000746078,0.5857816401155286
8,valence,0.07694963109704092,0.5857816401155286
8,intertemporal_choice,0.07026884843284151,0.5857816401155286
8,instrumental_conditioning,0.0695589069983038,0.5857816401155286
8,taste,0.06704385806557392,0.5857816401155286
8,expectancy,0.06496942838920311,0.5857816401155286
8,arousal,0.06441731416336251,0.5857816401155286
9,speech,0.2445386016425501,0.6722368406943626
9,language,0.2208952386422373,0.6722368406943626
9,speech_processing,0.2159796991588516,0.6722368406943626
9,listening,0.2146784787614348,0.6722368406943626
9,speech_perception,0.21180594684675447,0.6722368406943626
9,hearing,0.2110558089965785,0.6722368406943626
9,language_processing,0.20320026238309954,0.6722368406943626
9,semantic_processing,0.17444842318453924,0.6722368406943626
10,manipulation,0.1480950204030958,0.6068863456050315
10,attention,0.14162532010826515,0.6068863456050315
10,spatial_attention,0.13946165241657255,0.6068863456050315
10,working_memory,0.132719541617325,0.6068863456050315
10,reaction_time,0.12466705346180786,0.6068863456050315
10,execution,0.12446063402279707,0.6068863456050315
10,action,0.12266921961020205,0.6068863456050315
10,covert,0.121121232634882,0.6068863456050315
10,representation,0.12015510450176367,0.6068863456050315
10,vision,0.11979599343842645,0.6068863456050315
10,intention,0.11853397399845772,0.6068863456050315
10,visual_attention,0.11779232186893368,0.6068863456050315
10,grasping,0.11764048263896446,0.6068863456050315
11,anticipation,0.1175183347269272,0.5975465658165413
11,arousal,0.11550770717801202,0.5975465658165413
11,interoception,0.11425157939570255,0.5975465658165413
11,pain,0.11121230671926728,0.5975465658165413
11,decision_making,0.09448720125198674,0.5975465658165413
11,reward,0.09233039333336956,0.5975465658165413
11,painful_stimulation,0.0920518557728763,0.5975465658165413
11,error_detection,0.09068902995140424,0.5975465658165413
11,monitoring,0.09008665896582962,0.5975465658165413
11,expectancy,0.08730704847221837,0.5975465658165413
11,salience,0.08713848525404108,0.5975465658165413
12,hearing,0.19031426362753032,0.6347992570794816
12,listening,0.17586600232252725,0.6347992570794816
12,speech,0.1670100288707413,0.6347992570794816
12,tone,0.15853052320272815,0.6347992570794816
12,speech_perception,0.15679101083555486,0.6347992570794816
12,speech_processing,0.1501944102022944,0.6347992570794816
12,music,0.1364312132540681,0.6347992570794816
