PMID,SPLIT,DOMAIN,OBSERVED
2296583,test,MANIPULATION,1.0579889952538983
9238064,test,MANIPULATION,1.1337657673464765
9882087,test,MANIPULATION,1.1577696879850337
10388802,test,MANIPULATION,1.103657131691442
10401985,test,MANIPULATION,1.1109733267471356
10402199,test,MANIPULATION,1.149073832532881
10527065,test,MANIPULATION,1.105088136551658
10554992,test,MANIPULATION,1.1087619530688941
10581226,test,MANIPULATION,1.1338750922491436
10686183,test,MANIPULATION,1.113074840597969
11095716,test,MANIPULATION,1.093225054640782
11564326,test,MANIPULATION,1.137151661009224
11576194,test,MANIPULATION,1.1429557614373804
11771973,test,MANIPULATION,1.11777854108131
12112763,test,MANIPULATION,1.164384321053672
12112767,test,MANIPULATION,1.1423822407913213
12429401,test,MANIPULATION,1.1137255200403056
12477708,test,MANIPULATION,1.1191099929253914
12589893,test,MANIPULATION,1.0502551888497345
12599276,test,MANIPULATION,1.189055791670399
12667849,test,MANIPULATION,1.1376542121412307
12668238,test,MANIPULATION,1.148567299663749
12672965,test,MANIPULATION,1.1171368704625058
12805112,test,MANIPULATION,1.1353875800459492
12812832,test,MANIPULATION,1.0829710495483371
12855357,test,MANIPULATION,1.1461771467400697
12867520,test,MANIPULATION,1.1050042178090478
12875920,test,MANIPULATION,1.1146894371382876
12946085,test,MANIPULATION,1.1448917260088844
12953304,test,MANIPULATION,1.172077348207096
14534916,test,MANIPULATION,1.0903282433141215
14638592,test,MANIPULATION,1.1290055037438265
14691061,test,MANIPULATION,1.1036270027516488
14741658,test,MANIPULATION,1.1249293948066696
15001776,test,MANIPULATION,1.0979380784266228
15069021,test,MANIPULATION,1.1158525536433592
15120536,test,MANIPULATION,1.1246378872100098
15142962,test,MANIPULATION,1.1250836784574494
15511653,test,MANIPULATION,1.130048885191915
15528101,test,MANIPULATION,1.1415297435961853
15541071,test,MANIPULATION,1.1257073140114828
15572117,test,MANIPULATION,1.114680477223538
15728740,test,MANIPULATION,1.1393439612807956
15741465,test,MANIPULATION,1.1095635968101645
15766766,test,MANIPULATION,1.1659608457688753
15784438,test,MANIPULATION,1.1119919872735136
15808995,test,MANIPULATION,1.0690601368603108
15930384,test,MANIPULATION,1.0889015685058634
16009569,test,MANIPULATION,1.154787109149319
16126414,test,MANIPULATION,1.1359283464420953
16150800,test,MANIPULATION,1.0862551324172007
16199012,test,MANIPULATION,1.1337568958990831
16199830,test,MANIPULATION,1.1299945914418583
16203952,test,MANIPULATION,1.1323309962378012
16228196,test,MANIPULATION,1.059818235644152
16300969,test,MANIPULATION,1.0971388139322915
16540348,test,MANIPULATION,1.139924342659974
16547922,test,MANIPULATION,1.0954602708547545
16861335,test,MANIPULATION,1.1214228351866327
16912129,test,MANIPULATION,1.114953324870601
16938439,test,MANIPULATION,1.1624432082647598
16944492,test,MANIPULATION,1.122261993335712
17029760,test,MANIPULATION,1.143279794339619
17239622,test,MANIPULATION,1.0798183477770968
17239623,test,MANIPULATION,1.0268003575558469
17274021,test,MANIPULATION,1.0995283289211268
17392459,test,MANIPULATION,1.1520041723900953
17432971,test,MANIPULATION,1.1312021396248215
17488207,test,MANIPULATION,1.071466691743414
17497646,test,MANIPULATION,1.0767097711206584
17499456,test,MANIPULATION,1.0206004579824062
17888408,test,MANIPULATION,1.0821774441249081
17888409,test,MANIPULATION,1.090865542898612
17990304,test,MANIPULATION,1.1055991346666059
18033767,test,MANIPULATION,1.065151352780785
18308708,test,MANIPULATION,1.1262390791447334
18310580,test,MANIPULATION,1.1086383943672373
18336838,test,MANIPULATION,1.1095605546373295
18344173,test,MANIPULATION,1.1235520791155091
18406434,test,MANIPULATION,1.1669353892506256
18468869,test,MANIPULATION,1.1303160670914467
18578596,test,MANIPULATION,1.12040521599615
18661503,test,MANIPULATION,1.0847925475718656
18725239,test,MANIPULATION,1.1775168296700564
18822455,test,MANIPULATION,1.0987289572267673
18823245,test,MANIPULATION,1.1362163199712563
18848743,test,MANIPULATION,1.0946829742220479
19018314,test,MANIPULATION,1.1169203849071005
19162200,test,MANIPULATION,1.1088688146555332
19196494,test,MANIPULATION,1.1319817221715809
19199402,test,MANIPULATION,1.1510799845392394
19296728,test,MANIPULATION,1.1729118028279346
19301995,test,MANIPULATION,1.133769008981994
19376243,test,MANIPULATION,1.1389815307685058
19395526,test,MANIPULATION,1.1307174207998587
19401185,test,MANIPULATION,1.115813870947188
19410589,test,MANIPULATION,1.1591481390031313
19422920,test,MANIPULATION,1.1137279617493527
19429863,test,MANIPULATION,1.0837684943744694
19538948,test,MANIPULATION,1.1595571856520115
19549622,test,MANIPULATION,1.1577876281874948
19569073,test,MANIPULATION,1.12551567781828
19573610,test,MANIPULATION,1.1318648864089549
19619566,test,MANIPULATION,1.0957032175429215
19925856,test,MANIPULATION,1.0898891297624953
20025982,test,MANIPULATION,1.1477811207164388
20071459,test,MANIPULATION,1.0988888039679923
20083395,test,MANIPULATION,1.1198706735389712
20138255,test,MANIPULATION,1.1595660820534006
20157373,test,MANIPULATION,1.164344815495359
20162598,test,MANIPULATION,1.1131363920120325
20164352,test,MANIPULATION,1.0827747638257357
20522540,test,MANIPULATION,1.0876453370340669
20530219,test,MANIPULATION,1.1068821314124346
20628343,test,MANIPULATION,1.0198973745031124
20691427,test,MANIPULATION,1.0844632314499445
20833698,test,MANIPULATION,1.1115348845429827
20851189,test,MANIPULATION,1.1289559579828423
20854914,test,MANIPULATION,1.149078079861144
21140434,test,MANIPULATION,1.0984796978231648
21147136,test,MANIPULATION,1.1247591880588825
21172322,test,MANIPULATION,1.1033862205001468
21195187,test,MANIPULATION,1.1460405733632146
21205806,test,MANIPULATION,1.09359744001091
21391280,test,MANIPULATION,1.1304945241131867
21415916,test,MANIPULATION,1.1061238953042276
21504992,test,MANIPULATION,1.0630337333588031
21556876,test,MANIPULATION,1.0426493151171334
21676001,test,MANIPULATION,1.0851562706308124
21689852,test,MANIPULATION,1.131054150864795
21782030,test,MANIPULATION,1.0355174365518995
21782031,test,MANIPULATION,1.0831657776414165
21926468,test,MANIPULATION,1.0880807243575021
21938266,test,MANIPULATION,1.1194324913488898
22016480,test,MANIPULATION,1.088574110587037
22248577,test,MANIPULATION,1.137019986047113
22264344,test,MANIPULATION,1.097632116478438
22337757,test,MANIPULATION,1.1285013108618793
22369994,test,MANIPULATION,1.0770243243601858
22445816,test,MANIPULATION,1.0810206546091794
22574280,test,MANIPULATION,1.1086820691318722
22617829,test,MANIPULATION,1.1444863536511176
22658706,test,MANIPULATION,1.1186147067552983
22701630,test,MANIPULATION,1.0934138942540996
22745505,test,MANIPULATION,1.080712813777424
22814146,test,MANIPULATION,1.0909511914987067
23019128,test,MANIPULATION,1.164149377104344
23028775,test,MANIPULATION,1.1334781861890175
23217577,test,MANIPULATION,1.087546010861826
23249347,test,MANIPULATION,1.120544785249291
23287569,test,MANIPULATION,1.134871476532204
23359269,test,MANIPULATION,1.120351271708953
23391130,test,MANIPULATION,1.085156342809116
23410032,test,MANIPULATION,1.1025960579522136
23527247,test,MANIPULATION,1.1207416627835416
23553547,test,MANIPULATION,1.1282211091769867
23555020,test,MANIPULATION,1.0446594248292305
23567890,test,MANIPULATION,1.1010794538264441
23654223,test,MANIPULATION,1.1403886471943439
23796961,test,MANIPULATION,1.1037483092269496
23810119,test,MANIPULATION,1.0941045087351886
23960206,test,MANIPULATION,1.1499523403140226
23985135,test,MANIPULATION,1.1013639497104966
24129199,test,MANIPULATION,1.1224383869442394
24214215,test,MANIPULATION,1.1346146076387493
24269856,test,MANIPULATION,1.0964543247870988
24405186,test,MANIPULATION,1.135232421714574
24557638,test,MANIPULATION,1.1124877343867554
24578040,test,MANIPULATION,1.0949177745540561
24867353,test,MANIPULATION,1.0966732992674493
24893740,test,MANIPULATION,1.1132668334797673
24904065,test,MANIPULATION,1.0796383796724107
24904992,test,MANIPULATION,1.1473076134204143
25023736,test,MANIPULATION,1.0547449229997916
25067812,test,MANIPULATION,1.1188856422600504
25110231,test,MANIPULATION,1.0890589522548317
25140143,test,MANIPULATION,1.143619423040843
25245813,test,MANIPULATION,1.0934111713802528
25284304,test,MANIPULATION,1.1471697354352746
25394198,test,MANIPULATION,1.103553623491004
25445623,test,MANIPULATION,1.0675253665490392
25670645,test,MANIPULATION,1.074090589234554
25687596,test,MANIPULATION,1.0703748505502688
25726898,test,MANIPULATION,1.1656958980720704
25818331,test,MANIPULATION,1.113298130685623
25862672,test,MANIPULATION,1.0812270542376718
25962953,test,MANIPULATION,1.1047181910432522
25987597,test,MANIPULATION,1.1391309351787962
26018874,test,MANIPULATION,1.1317639264759802
26151102,test,MANIPULATION,1.1463263341957517
26197049,test,MANIPULATION,1.1464317441263685
26204262,test,MANIPULATION,1.0892710423955014
26248537,test,MANIPULATION,1.1350246881686779
26512314,test,MANIPULATION,1.08420127299973
26615571,test,MANIPULATION,1.1567628563183565
26773910,test,MANIPULATION,1.0822123184666474
26900571,test,MANIPULATION,1.0786618679714823
27026657,test,MANIPULATION,1.0879365083328283
27102424,test,MANIPULATION,1.1310348238660894
27243614,test,MANIPULATION,1.096115728892978
27322194,test,MANIPULATION,1.0622660718089794
27378890,test,MANIPULATION,1.096278382120168
