,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Emotion,2.5567281598258584,3.3382231760220296,2.2217956464843867,2.0094636770561256,2.611443224805885,2.062312747846996,2.819481549581555,2.936639335186599,2.512924800635823,2.857402220888153,2.7783287667342456,2.7820696235143343,2.5816453836196662,2.763600733686987,2.987102028373443,2.433347986459759,2.62495432528623,2.49581442412113,2.198298437338184,2.3591258675394258,2.199621466205726
Anticipation,0.6271592394576163,0.19488047794104427,0.2923350203484993,0.7102183224981162,1.3471265934447145,0.571775940783659,1.017139354252655,1.0736511228494527,0.7992252965317017,1.1643769863650728,1.2182746626798848,1.4163353985301737,1.3008221680661447,1.5543915875855614,1.7269319299368844,1.8520960828316972,1.864217404468289,1.794341883067109,1.8528710562997335,1.7060646836455817,1.423975510781588
Cognition,2.6370402027635507,2.61006242615535,2.1845647291223735,1.9502631793392706,2.3957412211717846,2.4955073833904327,2.3843641259612935,2.5461480512932,2.357406192885289,2.6622858901672437,2.4976826228906903,2.5396998891754885,2.594789828910128,2.6543834380208775,2.7919147468866377,2.6689114843943136,2.7394475933561937,2.7064833955026057,2.5092813984063196,2.4554767350912226,2.451228290686898
Vision,1.8843985021035161,2.54125778141781,2.2391452775246825,2.2175155906301476,2.3823717914824583,2.2344285808948765,2.1704987752107012,2.3018104856892223,2.1618579282852006,2.205229099685431,1.9631569285522563,1.8725204574447045,1.794225234875191,2.0296878634643343,1.9448154880767463,1.6742999994921035,1.5760724700009692,1.5718276804427427,1.3417630192384433,1.405353857541143,1.4253739420486249
Manipulation,2.669943707909854,2.821492124577074,2.63983221194629,2.7325597181064283,2.6618823796927398,2.590059957020102,2.6247036423549344,2.6618239079472037,2.3411461352374623,2.4051135268323596,2.5807472999534213,2.2480400656928117,2.2089719342373684,2.179227621761417,2.044549874526034,2.171706090233923,1.849257560128923,1.8353323995786057,1.719440816059519,1.548294972900119,1.5747801454429062
Meaning,2.5350001354679508,2.5591001366797124,2.726474918898684,2.4361220030650172,2.651808661651503,2.3691640018075537,2.3626063956716803,2.2194778604028,2.1925640639023674,2.333613767690113,1.846460068065938,1.9711439323932511,1.84506452604634,2.0244960981320275,1.8972463805816926,1.7141385690308644,1.5936625583616988,1.6505069378282695,1.4631286029835822,1.4447023225452218,1.493150960079718
Language,0.5937819242628402,0.8469801138475002,1.102601043877028,1.1433457164995255,0.9069341625810533,0.8904297706072273,1.1480848239874657,0.9689122699853,0.9507562848939131,1.0209107622923057,0.7876555339959663,0.8488683643826528,0.8307380028203122,0.9652756655764073,0.8841024119095792,0.7936286159528367,0.8249905051184362,0.8335911813354626,0.7457859326456168,0.7357693688573101,0.7763178974334936
