,X,Y
9673996,-49.794693,-58.632275
9674604,8.322072,-152.9642
9679774,-126.055595,-58.534775
9685203,13.671496,22.51408
9696465,34.245342,88.094025
9698330,81.67683,-29.048124
9698571,-149.34785,-97.04331
9698575,8.390315,-108.107605
9698579,-120.70289,-2.6432095
9699694,-66.689804,-16.277061
9704265,99.68275,-5.0018716
9704267,17.16402,14.307703
9714705,-11.025566,-27.029818
9740361,-13.174602,-152.25168
9740761,20.268154,70.5171
9749761,128.29068,-98.12837
9753190,67.86212,57.323452
9754701,10.190465,-109.45675
9758739,-137.45256,-19.072227
9758741,101.65581,9.270493
9758742,158.63324,-43.6698
9770542,24.055593,27.031881
9772106,-157.49019,-33.32451
9772269,-27.671625,-97.19981
9772270,-71.12534,-96.281784
9787003,-70.9697,-39.47367
9798741,-64.07377,56.56585
9799627,63.4173,41.550034
9801380,122.71439,-86.98857
9801381,136.2454,-82.55171
9802236,-153.5637,40.652695
9808463,-72.80847,-35.588486
9819069,-102.51828,-19.416754
9819271,-16.201353,-68.46984
9819274,75.597786,-124.843636
9821359,159.88397,-37.563538
9827764,128.24118,48.972088
9827777,133.13504,-97.915955
9831457,-6.6602883,167.51756
9831460,51.831657,43.407307
9838166,-11.425904,-39.925972
9849722,-129.79425,-31.249504
9858371,-37.99336,-111.36593
9858384,86.9332,4.6205535
9861465,-40.30558,-22.046839
9862553,-135.04063,-91.65832
9862924,132.91473,4.4906282
9863701,-48.911564,-30.93234
9867232,-17.539497,48.915985
9882087,-114.17243,-100.33991
9894875,130.11766,53.47855
9918735,32.45801,-145.61201
9918737,44.090008,-88.02409
9927549,21.072685,16.423223
9927550,-95.54628,-27.022652
9927551,18.874407,16.771193
9950067,-23.763142,8.21511
9950713,-66.12751,-50.822464
9989556,4.013196,140.46497
9990082,29.916832,10.841614
9990104,-44.95677,65.28323
10022492,8.539957,-52.009182
10022494,-47.793404,-95.31264
10022496,40.290257,-144.1917
10027301,26.798222,25.797705
10051677,-12.233582,82.24681
10051756,87.48531,-10.010493
10071054,-15.949806,40.47273
10071093,-113.52788,-118.4179
10075897,-101.68194,-84.86108
10080553,30.509478,57.940853
10094257,6.7748947,-103.01719
