,X,Y
1402966,86.246346,17.36265
1410086,86.81156,16.93862
1448149,92.07856,-8.4354315
1486459,-19.002928,48.708046
1486460,-21.89789,60.00927
1519476,-57.918907,49.73836
1527602,79.08114,-28.16425
1542680,49.565495,42.05309
1613546,14.332701,83.17578
1633409,-69.86529,-15.66546
1679944,-5.274591,69.62172
1791928,14.779023,48.940556
1822545,-12.391244,89.470665
1869921,-60.5982,-34.567688
1875248,-1.949561,89.1977
1884179,-22.001234,62.095818
1929214,64.77827,47.18367
2296583,30.24538,52.03746
2360050,9.663772,-4.887391
2396097,49.001488,49.778545
3277066,-36.57553,61.439903
3298565,-13.252671,86.380516
3653828,49.049084,47.75643
3875696,32.1174,70.11734
7472384,-66.475105,34.204933
7479961,-45.22503,-11.7659645
7485619,-88.83064,-22.705849
7488733,34.667027,-20.04807
7569934,-10.335969,35.75319
7708745,-15.952356,33.154312
7714579,-73.17586,24.450922
7811563,37.734554,69.837524
7820564,-73.12394,-18.805315
7820565,-59.80795,-18.0592
7846080,15.67228,79.341705
7850422,61.264866,48.794773
7864258,42.66944,-24.026237
7865775,13.681604,38.726906
7922456,-92.73993,-20.76568
7925790,-12.238172,80.35554
7935791,-47.00851,-17.460623
7953589,-42.614292,-31.546091
8027764,-23.304707,82.67824
8038933,93.738266,9.168791
8207487,-69.31586,-46.623466
8232848,33.363552,32.42596
8286936,-44.39868,-9.472284
8350282,24.463732,84.45493
8405250,36.094814,73.38662
8410148,-72.457565,-2.2404737
8430100,-17.168106,9.153443
8430101,-46.088745,11.085393
8441008,-48.47602,20.446667
8480815,83.417786,10.753766
8524452,-35.311974,4.3991113
8551361,-55.305832,-36.337963
8556839,34.876,-14.933663
8592204,12.38977,46.73933
8592206,14.889775,16.514297
8595189,25.214693,58.732056
8606767,-4.0250607,44.463577
8606771,54.444702,48.399837
8624678,-80.09986,-20.442019
8628399,-14.972074,-48.277378
8642414,-64.90708,40.79876
8642416,-11.347693,-76.545395
8642418,13.300499,-33.0161
8656296,1.1275558,-50.29213
8670634,-14.115747,7.7538557
8673502,-87.391945,-12.611557
8700204,-68.17219,-47.954544
8730806,-80.794395,12.708327
8738230,19.734106,77.86909
8772633,81.200165,2.9529154
8774879,3.1658688,-21.021954
8784221,34.77662,72.98537
8784224,-7.484287,88.34571
8786445,31.70579,82.24863
8790444,60.377777,-16.441004
8805334,-11.568616,74.0635
8805700,-3.9342115,44.854244
8805836,-3.259753,44.86024
8813286,-6.2584686,50.035954
8815903,-57.03389,-34.49404
8822570,-56.53783,33.825676
8836245,16.26896,90.28921
8855347,9.862788,-39.02447
8864300,-82.47667,11.764504
8889766,20.42116,80.422165
8893004,57.46266,-25.690004
8896772,43.352615,-67.019875
8904757,-53.189472,-17.455477
8929174,66.68832,26.911366
8931582,23.04179,18.335398
8931588,-44.526646,-10.11657
8938120,25.339293,5.890934
8951412,-51.08513,45.45126
8952093,-5.6271935,33.685036
8957565,27.773317,14.697173
8981399,-92.276115,-20.342728
8981469,17.891912,58.875298
8988793,-61.187714,-19.3461
8989012,46.047688,73.69622
9010014,-15.697096,-7.41367
9023428,26.69415,80.7398
9023435,-50.45995,49.74938
9025115,-24.774834,9.087728
9038283,40.54941,76.07568
9038284,-6.239102,2.661171
9051780,39.09909,3.4915876
9054787,3.2390904,-54.94827
9055802,72.15884,30.173
9065511,19.612255,0.6141218
9080447,-63.45039,25.202497
9084599,-70.05042,27.410454
9084621,13.303877,77.160286
9108115,90.019936,1.0772215
9114262,-5.415427,65.99561
9114263,-57.988857,49.80294
9116229,40.26902,57.030075
9121583,-42.91649,-4.3684263
9125463,-60.257,40.51772
9126062,-32.326332,10.932886
9133394,-43.007122,3.7826924
9141092,26.555326,-56.934902
9153035,43.190266,41.90381
9153677,-53.934364,-53.55141
9160646,28.629005,-8.187991
9175118,67.87174,31.34479
9183247,-81.915054,-27.046055
9183248,-86.807846,-25.40072
9185551,92.71555,-0.17029715
9187292,-1.7315985,-10.779213
9204934,-35.59122,67.03891
9210741,8.693227,-75.88004
9210742,13.770054,-59.122314
9217681,-70.73464,25.146835
9223090,-24.348667,7.8773904
9223094,-15.665643,36.68555
9228523,22.188595,-23.006025
9238064,-32.367386,-4.1546907
9242293,23.860977,84.964935
9256495,-69.62093,-50.911076
9287369,82.76747,25.226583
9295118,-4.1555033,80.678314
9295122,17.605188,-69.9071
9299382,-35.256973,-86.98403
9305814,-75.85024,6.788827
9309607,-5.281289,62.627438
9333238,-16.363388,-81.67437
9343589,41.29359,-10.437953
9343594,-72.9648,-1.7783833
9343606,43.52536,25.879185
9343610,4.842,47.26934
9343611,-62.21275,-4.497432
9345474,-36.73514,32.380646
9345478,-42.09681,-43.543724
9345483,-11.268745,20.580954
9345509,72.841774,-9.466049
9345552,-47.682877,-43.59222
9347486,58.710014,-51.49318
9352521,54.918415,-27.24276
9354332,9.254025,-38.844936
9365370,22.66278,30.181087
9389221,91.38982,4.872836
9391021,-62.147953,43.30679
9397017,-56.031067,37.1555
