,X,Y
1402966,6.436371,88.04286
1410086,6.2191358,88.61431
1448149,15.679953,93.20351
1486459,53.948032,-15.998914
1486460,63.095695,-19.81174
1519476,81.40091,-44.94761
1527602,-25.351246,88.5448
1542680,38.037025,50.16633
1613546,93.382126,23.141417
1633409,-10.10818,-73.5276
1679944,78.27589,0.3674805
1791928,53.72135,22.908346
1822545,95.40464,-19.64094
1869921,-31.488491,-54.18255
1875248,94.28981,-17.866365
1884179,65.55985,-19.242256
1929214,42.17626,75.961426
2296583,60.0107,38.29129
2360050,2.518617,21.338997
2396097,48.72662,52.53089
3277066,63.639336,-35.03297
3298565,90.54791,-21.96255
3653828,45.04147,50.010113
3875696,74.18741,39.613537
7472384,58.1942,-60.90917
7479961,-6.266032,-55.405476
7485619,-8.385776,-94.62559
7488733,-19.725893,44.70189
7569934,42.038967,-4.724665
7708745,28.601318,-15.090187
7714579,52.37416,-71.319885
7811563,75.41869,48.28151
7820564,-5.754435,-74.244385
7820565,-22.643791,-44.273956
7846080,90.56653,18.150608
7850422,45.900364,73.7327
7864258,-31.85727,39.456165
7865775,49.83606,28.868795
7922456,-1.9725907,-95.89893
7925790,83.7563,-8.944483
7935791,-10.704881,-63.27282
7953589,-32.391605,-35.17735
8027764,85.53963,-23.155996
8038933,2.4375582,99.52323
8207487,-48.66582,-75.42477
8232848,28.034334,16.008883
8286936,-2.0555189,-52.51317
8350282,89.192184,35.20914
8405250,74.68056,44.029522
8410148,-21.662872,-72.36382
8430100,-0.46119806,-10.759935
8430101,19.756767,-53.09966
8441008,29.533861,-53.26593
8480815,-0.979452,88.02174
8524452,10.826119,-39.906075
8551361,-37.369923,-51.755394
8556839,-15.1484585,40.460117
8592204,51.127148,19.28231
8592206,-3.0644279,28.241402
8595189,10.664924,38.932163
8606767,49.15386,1.8495979
8606771,46.56109,65.55162
8624678,-8.346813,-84.55019
8628399,-44.859474,-27.712912
8642414,71.57443,-63.298103
8642416,-77.49412,-17.365908
8642418,-36.878323,6.467246
8656296,-42.48668,-10.880117
8670634,17.62004,-8.7767315
8673502,3.805473,-86.98397
8700204,-50.63088,-74.95098
8730806,27.27545,-72.932816
8738230,83.05249,30.397728
