TERM,NOUN,TITLE
deterministic_classification,deterministic_classification,Deterministic Classification
deviance_detection,deviance_detection,Deviance Detection
devil_task,devil_task,Devil Task
dichotic_listening_task,dichotic_listening_task,Dichotic Listening Task
dickman_impulsivity_inventory,dickman_impulsivity_inventory,Dickman Impulsivity Inventory
dietary_decision_task,dietary_decision_task,Dietary Decision Task
difference_threshold,difference_threshold,Difference Threshold
differential_ability_scale,differential_ability_scale,Differential Ability Scale
digit,digit,Digit
digit_cancellation_task,digit_cancellation_task,Digit Cancellation Task
digit_coding_test,digit_coding_test,Digit Coding Test
digit_span_task,digit_span_task,Digit Span Task
digit_symbol_coding_test,digit_symbol_coding_test,Digit Symbol Coding Test
digitsymbol_coding_test,digitsymbol_coding_test,Digitsymbol Coding Test
dimension_task,dimension_task,Dimension Task
diphthong,diphthong,Diphthong
direct_consciousness,direct_consciousness,Direct Consciousness
directed_forgetting_task,directed_forgetting_task,Directed Forgetting Task
discourse,discourse,Discourse
discourse_comprehension,discourse_comprehension,Discourse Comprehension
discourse_content_question,discourse_content_question,Discourse Content Question
discourse_content_test,discourse_content_test,Discourse Content Test
discourse_distinction_task,discourse_distinction_task,Discourse Distinction Task
discourse_knowledge,discourse_knowledge,Discourse Knowledge
discourse_planning,discourse_planning,Discourse Planning
discourse_processing,discourse_processing,Discourse Processing
discourse_production,discourse_production,Discourse Production
discriminate,discriminate,Discriminate
discrimination,discrimination,Discrimination
discrimination_activity,discrimination_activity,Discrimination Activity
discrimination_function,discrimination_function,Discrimination Function
disgust,disgust,Disgust
disposition,disposition,Disposition
distraction,distraction,Distraction
distraction_paradigm,distraction_paradigm,Distraction Paradigm
distraction_paradigm_capture,distraction_paradigm_capture,Distraction Paradigm Capture
distractor_attention_paradigm,distractor_attention_paradigm,Distractor Attention Paradigm
distributed_coding,distributed_coding,Distributed Coding
divergent_thinking,divergent_thinking,Divergent Thinking
divided_attention,divided_attention,Divided Attention
divided_auditory,divided_auditory_task,Divided Auditory Task
divided_auditory_attention,divided_auditory_attention,Divided Auditory Attention
divided_auditory_attention_paradigm,divided_auditory_attention_paradigm,Divided Auditory Attention Paradigm
domain_specificity,domain_specificity,Domain Specificity
door_people_test,door_people_test,Door People Test
dospert,dospert,DOSPERT
dot_motion_task,dot_motion_task,Dot Motion Task
dot_pattern_expectancy_task,dot_pattern_expectancy_task,Dot Pattern Expectancy Task
draw,drawing,Drawing
drawing,drawing,Drawing
drawing_memory_task,drawing_memory_task,Drawing Memory Task
drawing_paradigm,drawing_paradigm,Drawing Paradigm
dream,dream,Dream
drink,drinking,Drinking
drinking,drinking,Drinking
drinking_paradigm,drinking_paradigm,Drinking Paradigm
driving,driving,Driving
dsmiv,dsmiv,DSM-IV
dual_sensitization,dual_sensitization,Dual Sensitization
dualtask_paradigm,dualtask_paradigm,Dualtask Paradigm
dualtask_weather_prediction,dualtask_weather_prediction,Dualtask Weather Prediction
duckworths_short_grit_scale,duckworths_short_grit_scale,Duckworths Short Grit Scale
dynamic_visual_perception,dynamic_visual_perception,Dynamic Visual Perception
dyslexia,dyslexia,Dyslexia
early_childhood_behavioral_questionnaire,early_childhood_behavioral_questionnaire,Early Childhood Behavioral Questionnaire
early_development_interview,early_development_interview,Early Development Interview
early_development_interview_edi,early_development_interview,Early Development Interview
early_social_communication_scale,early_social_communication_scale,Early Social Communication Scale
eating,eating,Eating
eating_drinking,eating_drinking,Eating/Drinking
eating_drinking_paradigm,eating_drinking_paradigm,Eating/Drinking Paradigm
eating_paradigm,eating_paradigm,Eating Paradigm
eating_questionnaire,eating_questionnaire,Eating Questionnaire
eatingdrinking,eatingdrinking,Eating/Drinking
echoic_memory,echoic_memory,Echoic Memory
echolocation,echolocation,Echolocation
echolocation_sensation,echolocation_sensation,Echolocation Sensation
eckblad_chapmans_hypomanic_personality_scale,eckblad_and_chapmans_hypomanic_personality_scale,Eckblad and Chapman's Hypomanic Personality Scale
economic_value_processing,economic_value_processing,Economic Value Processing
edge_detection,edge_detection,Edge Detection
edi,edi,EDI
edinburgh_handedness_inventory,edinburgh_handedness_inventory,Edinburgh Handedness Inventory
efficiency,efficiency,Efficiency
effort,effort,Effort
effort_valuation,effort_valuation,Effort Valuation
effortful_processing,effortful_processing,Effortful Processing
egocentric,egocentric,Egocentric
eidetic_memory,eidetic_memory,Eidetic Memory
elaborative_processing,elaborative_processing,Elaborative Processing
elaborative_rehearsal,elaborative_rehearsal,Elaborative Rehearsal
electric_stimulation,electric_stimulation,Electric Stimulation
electrical_sensation,electrical_sensation,Electrical Sensation
electrical_stimulation,electrical_stimulation,Electrical Stimulation
electroception_stimulus_transduction,electroception_stimulus_transduction,Electroception Stimulus Transduction
embedded_figure_test,embedded_figure_test,Embedded Figure Test
embodied_cognition,embodied_cognition,Embodied Cognition
emotion,emotion,Emotion
emotion_expression_identification,emotion_expression_identification,Emotion Expression Identification
emotion_induction,emotion_induction,Emotion Induction
emotion_perception,emotion_perception,Emotion Perception
emotion_processing_fmri_task_paradigm,emotion_processing_fmri_task_paradigm,Emotion Processing fMRI Task Paradigm
emotion_recognition,emotion_recognition,Emotion Recognition
emotion_recognition_task,emotion_recognition_task,Emotion Recognition Task
emotion_regulation,emotion_regulation,Emotion Regulation
emotion_regulation_questionnaire,emotion_regulation_questionnaire,Emotion Regulation Questionnaire
emotion_regulation_task,emotion_regulation_task,Emotion Regulation Task
emotional_body,emotional_body,Emotional Body
emotional_bonding,emotional_bonding,Emotional Bonding
emotional_decision_making,emotional_decision_making,Emotional Decision Making
emotional_enhancement,emotional_enhancement,Emotional Enhancement
emotional_expression,emotional_expression,Emotional Expression
emotional_face_recognition,emotional_face_recognition,Emotional Face Recognition
emotional_intelligence,emotional_intelligence,Emotional Intelligence
emotional_localizer_fmri_task_paradigm,emotional_localizer_fmri_task_paradigm,Emotional Localizer fMRI Task Paradigm
emotional_memory,emotional_memory,Emotional Memory
emotional_mimicry,emotional_mimicry,Emotional Mimicry
emotional_reappraisal,emotional_reappraisal,Emotional Reappraisal
emotional_regulation_task,emotional_regulation_task,Emotional Regulation Task
emotional_selfevaluation,emotional_selfevaluation,Emotional Selfevaluation
emotional_stroop,emotional_stroop,Emotional Stroop
emotional_suppression,emotional_suppression,Emotional Suppression
empathy,empathy,Empathy
encode,encoding,Encoding
encoding,encoding,Encoding
encoding_paradigm,encoding_paradigm,Encoding Paradigm
encoding_task,encoding_task,Encoding Task
episodic_buffer,episodic_buffer,Episodic Buffer
episodic_future_thinking,episodic_future_thinking,Episodic Future Thinking
episodic_intention,episodic_intention,Episodic Intention
episodic_learning,episodic_learning,Episodic Learning
episodic_memory,episodic_memory,Episodic Memory
episodic_planning,episodic_planning,Episodic Planning
episodic_prediction,episodic_prediction,Episodic Prediction
episodic_recall,episodic_recall,Episodic Recall
episodic_recall_paradigm,episodic_recall_paradigm,Episodic Recall Paradigm
episodic_recombination_paradigm,episodic_recombination_paradigm,Episodic Recombination Paradigm
episodic_simulation,episodic_simulation,Episodic Simulation
equilibrioception_sensation,equilibrioception_sensation,Equilibrioception Sensation
eriksen_flanker_task,eriksen_flanker_task,Eriksen Flanker Task
error_awareness_task,error_awareness_task,Error Awareness Task
error_detection,error_detection,Error Detection
error_signal,error_signal,Error Signal
error_trapping,error_trapping,Error Trapping
estimation,estimation,Estimation
excitation,excitation,Excitation
execution,execution,Execution
executive_function,executive_function,Executive Function
exogenous_attention,exogenous_attention,Exogenous Attention
expectancy,expectancy,Expectancy
expertise,expertise,Expertise
explicit_knowledge,explicit_knowledge,Explicit Knowledge
explicit_learning,explicit_learning,Explicit Learning
explicit_memory,explicit_memory,Explicit Memory
expressive_one_wordpicture_vocabulary_test,expressive_one_wordpicture_vocabulary_test,Expressive One Wordpicture Vocabulary Test
expressive_oneword_picture_vocabulary_test,expressive_oneword_picture_vocabulary_test,Expressive Oneword Picture Vocabulary Test
expressive_vocabulary_test,expressive_vocabulary_test,Expressive Vocabulary Test
extended_organism,extended_organism,Extended Organism
extension,extension,Extension
extension_paradigm,extension_paradigm,Extension Paradigm
externalizing,externalizing,Externalizing
extinction,extinction,Extinction
extradimensional_shift_task,extradimensional_shift_task,Extradimensional Shift Task
extraversion,extraversion,Extraversion
extrinsic_motivation,extrinsic_motivation,Extrinsic Motivation
eye,eye,Eye
eye_movement,eye_movement,Eye Movement
eye_puff,eye_puff,Eye Puff
eye_tracking_paradigm,eye_tracking_paradigm,Eye Tracking Paradigm
eysenck_personality_questionnaire,eysenck_personality_questionnaire,Eysenck Personality Questionnaire
face,face,Face
face_discrimination,face_discrimination,Face Discrimination
face_discrimination_paradigm,face_discrimination_paradigm,Face Discrimination Paradigm
face_identification_task,face_identification_task,Face Identification Task
face_maintenance,face_maintenance,Face Maintenance
face_matching_task,face_matching_task,Face Matching Task
face_monitor,face_monitor,Face Monitor
face_monitor_discrimination,face_monitor_discrimination,Face Monitor Discrimination
face_monitor_discrimination_paradigm,face_monitor_discrimination_paradigm,Face Monitor Discrimination Paradigm
face_monitor_paradigm,face_monitor_paradigm,Face Monitor Paradigm
face_monitordiscrimination,face_monitordiscrimination,Face Monitordiscrimination
face_nback_task,face_nback_task,Face N-Back Task
face_perception,face_perception,Face Perception
face_recognition,face_recognition,Face Recognition
face_working_memory_task,face_working_memory_task,Face Working Memory Task
facial_age_recognition,facial_age_recognition,Facial Age Recognition
facial_attractiveness_recognition,facial_attractiveness_recognition,Facial Attractiveness Recognition
facial_expression,facial_expression,Facial Expression
facial_happiness_recognition,facial_happiness_recognition,Facial Happiness Recognition
facial_recognition,facial_recognition,Facial Recognition
facial_recognition_task,facial_recognition_task,Facial Recognition Task
facial_trustworthiness_recognition,facial_trustworthiness_recognition,Facial Trustworthiness Recognition
fagerstrom_test_nicotine_dependence,fagerstrom_test_nicotine_dependence,Fagerstrom Test Nicotine Dependence
false_belief_task,false_belief_task,False Belief Task
false_font,false_font,False Font
false_memory,false_memory,False Memory
fame_judgment_task,fame_judgment_task,Fame Judgment Task
familiarity,familiarity,Familiarity
fast_pain_sensation,fast_pain_sensation,Fast Pain Sensation
fatigue,fatigue,Fatigue
fear,fear,Fear
feature_comparison,feature_comparison,Feature Comparison
feature_detection,feature_detection,Feature Detection
feature_extraction,feature_extraction,Feature Extraction
feature_integration,feature_integration,Feature Integration
feature_search,feature_search,Feature Search
featurebased_attention,featurebased_attention,Featurebased Attention
feedback,feedback,Feedback
feedback_processing,feedback_processing,Feedback Processing
feeding,feeding,Feeding
fictitious_event_ordering,fictitious_event_ordering,Fictitious Event Ordering
figurative_language,figurative_language,Figurative Language
figure_ground_reversal,figure_ground_reversal,Figure Ground Reversal
figure_ground_segregation,figure_ground_segregation,Figure Ground Segregation
figure_ground_task,figure_ground_task,Figure Ground Task
film_clip,film_clip,Film Clip
film_viewing,film_viewing,Film Viewing
film_viewing_paradigm,film_viewing_paradigm,Film Viewing Paradigm
filtering,filtering,Filtering
finger_tapping,finger_tapping,Finger Tapping
finger_tapping_paradigm,finger_tapping_paradigm,Finger Tapping Paradigm
finger_tapping_task,finger_tapping_task,Finger Tapping Task
fitts_task,fitts_task,Fitts Task
five_facet_mindfulness_questionnaire,five_facet_mindfulness_questionnaire,Five Facet Mindfulness Questionnaire
fixate,fixation,Fixation
fixation,fixation,Fixation
fixation_paradigm,fixation_paradigm,Fixation Paradigm
fixation_point,fixation_point,Fixation Point
fixation_task,fixation_task,Fixation Task
fixed_action_pattern,fixed_action_pattern,Fixed Action Pattern
flanker,flanker,Flanker
flanker_task_paradigm,flanker_task_paradigm,Flanker Task Paradigm
flashing_checkerboard,flashing_checkerboard,Flashing Checkerboard
flashing_checkerboard_paradigm,flashing_checkerboard_paradigm,Flashing Checkerboard Paradigm
flexion,flexion,Flexion
flexion_extension,flexion_extension,Flexion Extension
flexion_extension_paradigm,flexion_extension_paradigm,Flexion Extension Paradigm
flexion_paradigm,flexion_paradigm,Flexion Paradigm
flexionextension,flexionextension,Flexionextension
fluency_induction,fluency_induction,Fluency Induction
fluid_intelligence,fluid_intelligence,Fluid Intelligence
fluidcoupled_ciliary_displacement_stimulus_transduction,fluidcoupled_ciliary_displacement_stimulus_transduction,Fluidcoupled Ciliary Displacement Stimulus Transduction
focus,focus,Focus
focused_attention,focused_attention,Focused Attention
following_command,following_command,Following Command
food,food,Food
foot,foot,Foot
foraging,foraging,Foraging
foreshortened_view_task,foreshortened_view_task,Foreshortened View Task
forgetting,forgetting,Forgetting
form_perception,form_perception,Form Perception
forward_digit_span_task,forward_digit_span_task,Forward Digit Span Task
fractal,fractal,Fractal
framing,framing,Framing
free_list,free_list,Free List
free_recall,free_recall,Free Recall
free_recall_function,free_recall_function,Free Recall Function
free_word_list_recall,free_word_list_recall,Free Word List Recall
free_word_list_recall_paradigm,free_word_list_recall_paradigm,Free Word List Recall Paradigm
frustration,frustration,Frustration
functional_fixedness,functional_fixedness,Functional Fixedness
functional_localizer_fmri_task,functional_localizer_fmri_task,Functional Localizer fMRI Task
future_time_perspective_questionnaire,future_time_perspective_questionnaire,Future Time Perspective Questionnaire
gambling,gambling,Gambling
gambling_fmri_task_paradigm,gambling_fmri_task_paradigm,Gambling fMRI Task Paradigm
gambling_task,gambling_task,Gambling Task
gastrointestinal,gastrointestinal,Gastrointestinal
gating,gating,Gating
gaze,gaze,Gaze
gender_discrimination_task,gender_discrimination_task,Gender Discrimination Task
general_knowledge_task,general_knowledge_task,General Knowledge Task
generalization,generalization,Generalization
generalization_instrumental_avoidance_task,generalization_instrumental_avoidance_task,Generalization Instrumental Avoidance Task
generate,generating,Generating
generative_memory_activity,generative_memory_activity,Generative Memory Activity
generative_verbal_activity,generative_verbal_activity,Generative Verbal Activity
generic_knowledge,generic_knowledge,Generic Knowledge
genitourinary,genitourinary_system,Genitourinary System
gestalt,gestalt,Gestalt
gestalt_grouping,gestalt_grouping,Gestalt Grouping
glasgow_coma_scale,glasgow_coma_scale,Glasgow Coma Scale
global_precedence,global_precedence,Global Precedence
globallocal_task,globallocal_task,Global-Local Task
gm_paradigm,gm_paradigm,GM Paradigm
go_nogo,go_nogo,Go/No-Go
go_nogo_paradigm,go_nogo_paradigm,Go/No-Go Paradigm
go_nogo_task,go_nogo_task,Go/No-Go Task
go_paradigm,go_paradigm,Go Paradigm
go_task,go_task,Go Task
goal,goal,Goal
goal_formation,goal_formation,Goal Formation
goal_maintenance,goal_maintenance,Goal Maintenance
goal_management,goal_management,Goal Management
goal_selection,goal_selection,Goal Selection
goal_state,goal_state,Goal State
gonogo,gonogo,Go/No-Go
gonogo_paradigm,gonogo_paradigm,Go/No-Go Paradigm
gonogo_task,gonogo_task,Go/No-Go Task
graded_naming_test,graded_naming_test,Graded Naming Test
grammatical_encoding,grammatical_encoding,Grammatical Encoding
grapheme,grapheme,Grapheme
graphemic_buffer,graphemic_buffer,Graphemic Buffer
grasp,grasping,Grasping
grasp_reflex,grasp_reflex,Grasp Reflex
grasping,grasping,Grasping
grasping_paradigm,grasping_paradigm,Grasping Paradigm
grasping_task,grasping_task,Grasping Task
gray_oral_reading_test_4,gray_oral_reading_test_4,Gray Oral Reading Test 4
grief,grief,Grief
guilt,guilt,Guilt
gustation,gustation,Gustation
gustation_processing,gustation_processing,Gustation Processing
gustatory_learning,gustatory_learning,Gustatory Learning
gustatory_memory,gustatory_memory,Gustatory Memory
gustatory_modality,gustatory_modality,Gustatory Modality
gustatory_perception,gustatory_perception,Gustatory Perception
gustatory_stimulation_liquid_flavor,gustatory_stimulation_liquid_flavor,Gustatory Stimulation Liquid Flavor
gustatory_stimulation_liquid_taste,gustatory_stimulation_liquid_taste,Gustatory Stimulation Liquid Taste
gustatory_stimulation_liquid_taste_flavor,gustatory_stimulation_liquid_taste_flavor,Gustatory Stimulation Liquid Taste Flavor
gustatory_stimulus_transduction,gustatory_stimulus_transduction,Gustatory Stimulus Transduction
gustatory_system_function,gustatory_system_function,Gustatory System Function
habit,habit,Habit
habit_learning,habit_learning,Habit Learning
habit_memory,habit_memory,Habit Memory
hallucination,hallucination,Hallucination
halsteadreitan_battery,halsteadreitan_battery,Halsteadreitan Battery
hamilton_psychiatric_rating_scale_depression,hamilton_psychiatric_rating_scale_depression,Hamilton Psychiatric Rating Scale Depression
hand,hand,Hand
hand_chirality_recognition,hand_chirality_recognition,Hand Chirality Recognition
hand_side_recognition,hand_side_recognition,Hand Side Recognition
handeye_coordination,handeye_coordination,Handeye Coordination
happiness,happiness,Happiness
haptic_illusion_task,haptic_illusion_task,Haptic Illusion Task
harm_avoidance,harm_avoidance,Harm Avoidance
hayling_sentence_completion_test,hayling_sentence_completion_test,Hayling Sentence Completion Test
hearing,hearing,Hearing
heartbeat,heartbeat,Heartbeat
heat,heat,Heat
heat_adaptation,heat_adaptation,Heat Adaptation
heat_sensation,heat_sensation,Heat Sensation
heat_sensitization,heat_sensitization,Heat Sensitization
heat_sensitization_adaptation,heat_sensitization_adaptation,Heat Sensitization Adaptation
heat_sensitizationadaptation,heat_sensitizationadaptation,Heat Sensitizationadaptation
heat_stimulation,heat_stimulation,Heat Stimulation
hedonism,hedonism,Hedonism
heuristic_search,heuristic_search,Heuristic Search
hidden_path_learning_task,hidden_path_learning_task,Hidden Path Learning Task
hidden_state_decision_making_task,hidden_state_decision_making_task,Hidden State Decision Making Task
hierarchical_rule_task,hierarchical_rule_task,Hierarchical Rule Task
high_energy_density_food_recognition,high_energy_density_food_recognition,High Energy Density Food Recognition
higher_order_consciousness,higher_order_consciousness,Higher Order Consciousness
hill_climbing,hill_climbing,Hill Climbing
holt_laury_risk_titrator,holt_laury_risk_titrator,Holt Laury Risk Titrator
honesty,honesty,Honesty
hooper_visual_organization_test,hooper_visual_organization_test,Hooper Visual Organization Test
hopkins_symptom_checklist,hopkins_symptom_checklist,Hopkins Symptom Checklist
horizontal_checkerboard,horizontal_checkerboard,Horizontal Checkerboard
human_being,human_being,Human Being
humiliation,humiliation,Humiliation
humor,humor,Humor
hunger,hunger,Hunger
hungry_donkey_task,hungry_donkey_task,Hungry Donkey Task
hyperactivity,hyperactivity,Hyperactivity
hypercapnia,hypercapnia,Hypercapnia
hypomanic_personality_scale,hypomanic_personality_scale,Hypomanic Personality Scale
i7_impulsiveness_venturesomeness_questionnaire,i7_impulsiveness_and_venturesomeness_questionnaire,I7 Impulsiveness and Venturesomeness Questionnaire
iconic_memory,iconic_memory,Iconic Memory
ideational_praxis_task,ideational_praxis_task,Ideational Praxis Task
identification,identification,Identification
illocutionary_force,illocutionary_force,Illocutionary Force
image_monitoring,image_monitoring,Image Monitoring
imageability,imageability,Imageability
imagery,imagery,Imagery
imagination,imagination,Imagination
imagine,imagining,Imagining
imagined_movement,imagined_movement,Imagined Movement
imagined_movement_paradigm,imagined_movement_paradigm,Imagined Movement Paradigm
imagined_object,imagined_object,Imagined Object
imagined_object_paradigm,imagined_object_paradigm,Imagined Object Paradigm
imagined_object_scene,imagined_object_scene,Imagined Object Scene
imagined_object_scene_paradigm,imagined_object_scene_paradigm,Imagined Object Scene Paradigm
imagined_objectsscenes,imagined_objectsscenes,Imagined Objectsscenes
imagined_scene,imagined_scene,Imagined Scene
imagined_scene_paradigm,imagined_scene_paradigm,Imagined Scene Paradigm
immediate_memory_task,immediate_memory_task,Immediate Memory Task
immediate_recall_test,immediate_recall_test,Immediate Recall Test
implicit_association_task,implicit_association_task,Implicit Association Task
implicit_knowledge,implicit_knowledge,Implicit Knowledge
implicit_learning,implicit_learning,Implicit Learning
implicit_memory,implicit_memory,Implicit Memory
imprinting,imprinting,Imprinting
impulsiveness,impulsiveness,Impulsiveness
impulsivity,impulsivity,Impulsivity
inappropriate_speech,inappropriate_speech,Inappropriate Speech
inattention,inattention,Inattention
inattentional_blindness,inattentional_blindness,Inattentional Blindness
incentive_modulated_antisaccade_task,incentive_modulated_antisaccade_task,Incentive Modulated Antisaccade Task
incidental_encoding_task,incidental_encoding_task,Incidental Encoding Task
incidental_learning,incidental_learning,Incidental Learning
incubation,incubation,Incubation
indignation,indignation,Indignation
individual_body_part_movement,individual_body_part_movement,Individual Body Part Movement
induced_panic,induced_panic,Induced Panic
induction,induction,Induction
inductive_reasoning,inductive_reasoning,Inductive Reasoning
inductive_reasoning_activity,inductive_reasoning_activity,Inductive Reasoning Activity
inductive_reasoning_aptitude,inductive_reasoning_aptitude,Inductive Reasoning Aptitude
inductive_reasoning_function,inductive_reasoning_function,Inductive Reasoning Function
inference,inference,Inference
information_sampling_task,information_sampling_task,Information Sampling Task
infrared_laser,infrared_laser,Infrared Laser
infusion,infusion,Infusion
inhibition,inhibition,Inhibition
inhibition_return,inhibition_return,Inhibition Return
insight,insight,Insight
instinct,instinct,Instinct
instrumental_conditioning,instrumental_conditioning,Instrumental Conditioning
instrumental_learning,instrumental_learning,Instrumental Learning
instrumental_learning_task,instrumental_learning_task,Instrumental Learning Task
integration,integration,Integration
intelligence,intelligence,Intelligence
intensity_somatosensory_stimulation,intensity_somatosensory_stimulation,Intensity Somatosensory Stimulation
intention,intention,Intention
intentional_forgetting,intentional_forgetting,Intentional Forgetting
intentional_learning,intentional_learning,Intentional Learning
intentionality,intentionality,Intentionality
interdimensional_extradimensional_shift_task,interdimensional_extradimensional_shift_task,Interdimensional/Extradimensional Shift Task
interdimensional_shift_task,interdimensional_shift_task,Interdimensional Shift Task
interdimensionalextradimensional_shift_task,interdimensional_extradimensional_shift_task,Interdimensional/Extradimensional Shift Task
interference,interference,Interference
interference_control,interference_control,Interference Control
interference_resolution,interference_resolution,Interference Resolution
intermediateterm_memory,intermediateterm_memory,Intermediateterm Memory
intermodal_preferential_looking_paradigm,intermodal_preferential_looking_paradigm,Intermodal Preferential Looking Paradigm
intermodal_selective_attention_task,intermodal_selective_attention_task,Intermodal Selective Attention Task
internal_speech,internal_speech,Internal Speech
internalizing,internalizing,Internalizing
international_affective_picture_system,international_affective_picture_system,International Affective Picture System
interoception,interoception,Interoception
interoceptive_modality,interoceptive_modality,Interoceptive Modality
interoceptive_representation,interoceptive_representation,Interoceptive Representation
interpersonal_behavior,interpersonal_behavior,Interpersonal Behavior
interpersonal_process,interpersonal_process,Interpersonal Process
interpretive_braille_reading,interpretive_braille_reading,Interpretive Braille Reading
interpretive_listening,interpretive_listening,Interpretive Listening
interpretive_verbal_activity,interpretive_verbal_activity,Interpretive Verbal Activity
interpretive_vision_based_reading,interpretive_vision_based_reading,Interpretive Vision Based Reading
interrogative,interrogative,Interrogative
intertemporal_choice,intertemporal_choice,Intertemporal Choice
intonation,intonation,Intonation
intradimensional_shift_task,intradimensional_shift_task,Intradimensional Shift Task
intrinsic_motivation,intrinsic_motivation,Intrinsic Motivation
introspection,introspection,Introspection
introversion,introversion,Introversion
involuntary_attention,involuntary_attention,Involuntary Attention
iowa_gambling_task,iowa_gambling_task,Iowa Gambling Task
irascibility,irascibility,Irascibility
irony,irony,Irony
irritability,irritability,Irritability
ishihara_plate_color_blindness,ishihara_plate_color_blindness,Ishihara Plate Color Blindness
isometric_force,isometric_force,Isometric Force
isometric_force_paradigm,isometric_force_paradigm,Isometric Force Paradigm
item_recognition_activity,item_recognition_activity,Item Recognition Activity
item_recognition_task,item_recognition_task,Item Recognition Task
jnd,jnd,JND
joint_attention,joint_attention,Joint Attention
joint_attention_non_orienting_task,joint_attention_non_orienting_task,Joint Attention Non Orienting Task
joint_attention_social_nonsocial_orienting_task,joint_attention_social_nonsocial_orienting_task,Joint Attention Social Nonsocial Orienting Task
joint_social_nonsocial_orienting_task,joint_social_nonsocial_orienting_task,Joint Social Nonsocial Orienting Task
judging,judging,Judging
judgment,judgment,Judgment
judgment_line_orientation_task,judgment_line_orientation_task,Judgment Line Orientation Task
kanizsa_figure,kanizsa_figure,Kanizsa Figure
kaufman_brief_intelligence_test,kaufman_brief_intelligence_test,Kaufman Brief Intelligence Test
keeptrack_task,keeptrack_task,Keep-Track Task
kinaesthetic_representation,kinaesthetic_representation,Kinaesthetic Representation
kindness_priming,kindness_priming,Kindness Priming
kinesthesia,kinesthesia,Kinesthesia
kinesthetic_sensation,kinesthetic_sensation,Kinesthetic Sensation
kinesthetic_system_function,kinesthetic_system_function,Kinesthetic System Function
kirby_delay_discounting_task,kirby_delay_discounting_task,Kirby Delay Discounting Task
know_task,know_task,Know Task
knowledge,knowledge,Knowledge
landmark_task,landmark_task,Landmark Task
language,language,Language
language_acquisition,language_acquisition,Language Acquisition
language_comprehension,language_comprehension,Language Comprehension
language_learning,language_learning,Language Learning
language_perception,language_perception,Language Perception
language_problem_solving_behavior,language_problem_solving_behavior,Language Problem Solving Behavior
language_processing,language_processing,Language Processing
language_processing_fmri_task_paradigm,language_processing_fmri_task_paradigm,Language Processing Fmri Task Paradigm
language_production,language_production,Language Production
lateral_facilitation,lateral_facilitation,Lateral Facilitation
lateral_masking,lateral_masking,Lateral Masking
lateralized_activity,lateralized_activity,Lateralized Activity
learning,learning,Learning
left_finger_response_execution,left_finger_response_execution,Left Finger Response Execution
left_hand_response_execution,left_hand_response_execution,Left Hand Response Execution
left_toe_response_execution,left_toe_response_execution,Left Toe Response Execution
leg,leg,Leg
leiter_international_performance_scale,leiter_international_performance_scale,Leiter International Performance Scale
lemma,lemma,Lemma
length_match_task,length_match_task,Length Match Task
lethargy,lethargy,Lethargy
letter,letter,Letter
letter_case_judgment_task,letter_case_judgment_task,Letter Case Judgment Task
letter_comparison_task,letter_comparison_task,Letter Comparison Task
letter_fluency_test,letter_fluency_test,Letter Fluency Test
letter_matching_task,letter_matching_task,Letter Matching Task
letter_memory,letter_memory,Letter Memory
letter_naming_task,letter_naming_task,Letter Naming Task
letter_nback_task,letter_nback_task,Letter N-Back Task
letter_number_sequencing,letter_number_sequencing,Letter Number Sequencing
lexeme,lexeme,Lexeme
lexical_access,lexical_access,Lexical Access
lexical_ambiguity,lexical_ambiguity,Lexical Ambiguity
lexical_decision,lexical_decision,Lexical Decision
lexical_decision_task,lexical_decision_task,Lexical Decision Task
lexical_encoding,lexical_encoding,Lexical Encoding
lexical_processing,lexical_processing,Lexical Processing
lexical_retrieval,lexical_retrieval,Lexical Retrieval
lexicon,lexicon,Lexicon
libido,libido,Libido
life_satisfaction,life_satisfaction,Life Satisfaction
light_stimulus_transduction,light_stimulus_transduction,Light Stimulus Transduction
limited_capacity,limited_capacity,Limited Capacity
linguistic_capability,linguistic_capability,Linguistic Capability
linguistic_competence,linguistic_competence,Linguistic Competence
listening,listening,Listening
listening_reading_task,listening_and_reading_task,Listening and Reading Task
listening_span_task,listening_span_task,Listening Span Task
little_circle,little_circle,Big/Little Circle Task
living_judgment_mirrorreversed_plaintext_word,living_judgment_mirrorreversed_plaintext_word,Living/Nonliving Judgment on Mirror-Reversed and Plain-Text Words
living_nonliving_judgment_mirrorreversed_plaintext_word,living_nonliving_judgment_mirrorreversed_plaintext_word,Living/Nonliving Judgment on Mirror-Reversed and Plain-Text Words
livingnonliving_judgment_mirrorreversed_plaintext_word,livingnonliving_judgment_mirrorreversed_plaintext_word,Living/Nonliving Judgment on Mirror-Reversed and Plain-Text Words
livingnonliving_task,livingnonliving_task,Living/Nonliving Task
local_computation,local_computation,Local Computation
localization,localization,Localization
location_discrimination_paradigm,location_discrimination_paradigm,Location Discrimination Paradigm
locomotion,locomotion,Locomotion
locomotor_activity,locomotor_activity,Locomotor Activity
locomotor_function,locomotor_function,Locomotor Function
logic,logic,Logic
logical_reasoning,logical_reasoning,Logical Reasoning
logical_reasoning_task,logical_reasoning_task,Logical Reasoning Task
loneliness,loneliness,Loneliness
loneliness_rating_scale,loneliness_rating_scale,Loneliness Rating Scale
longterm_memory,longterm_memory,Long-Term Memory
loss,loss,Loss
loss_anticipation,loss_anticipation,Loss Anticipation
loss_aversion,loss_aversion,Loss Aversion
lying,lying,Lying
