PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
24012322,,,,,,,,,
24140937,,,,,,,,,
16046064,,,,,,,,,
27381089,,,,,,,,,
21960489,,,,,,,,,
21932266,,,,,,,,,
20201631,,,,,,,,,
23446840,,,,,,,,,
16968868,,,,,,,,,
22100770,,,,,,,,,
28236714,,,,,,,,,
16880132,,,,,,,,,
21183457,,,,,,,,,
14514501,,,,,,,,,
12112770,,,,,,,,,
22905826,,,,,,,,,
29428579,,,,,,,,,
23595741,,,,,,,,,
16421329,,,,,,,,,
18823238,,,,,,,,,
23349792,,,,,,,,,
10846167,,,,,,,,,
16575838,,,,,,,,,
21467048,,,,,,,,,
23468100,,,,,,,,,
18329671,,,,,,,,,
27566606,,,,,,,,,
25955498,,,,,,,,,
18385328,,,,,,,,,
21418787,,,,,,,,,
18823229,,,,,,,,,
25183168,,,,,,,,,
21888981,,,,,,,,,
10617288,,,,,,,,,
18275339,,,,,,,,,
26025759,,,,,,,,,
24936406,,,,,,,,,
