PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
20147458,fMRI,Functional MRI,18,27,21.82,,0,45,45
15850740,fMRI,Functional MRI,,,24.08,3.48,7,6,13
18773963,fMRI,Functional MRI,,,25.8,,10,10,20
27907134,fMRI,Functional MRI,,,36.77,8.0275,10,61,71
22337349,fMRI,Functional MRI,,,51.06,8.41,34,0,34
15351766,fMRI,Functional MRI,,,43,7.75,24,14,38
15670692,fMRI,Functional MRI,,,24,,7,6,13
23684875,fMRI,Functional MRI,20,30,25.32,3.878,14,14,28
20035016,fMRI,Functional MRI,,,22,4,10,10,20
18252741,fMRI,Functional MRI,21,31,,,0,10,10
17073984,fMRI & PET (ALE),Other,,,,,,,381
19016600,fMRI,Functional MRI,,,22,3,19,13,32
26433119,MRI (VBM),Structural MRI,60,80,70,6.2,8,14,22
19453626,fMRI,Functional MRI,20,29,,,4,6,10
18056543,fMRI,Functional MRI,19,41,27.55,5.2,9,24,33
17499172,fMRI,Functional MRI,,,,,,,4
26858629,fMRI,Functional MRI,,,22.1,5,19,20,39
23913754,fMRI,Functional MRI,,,44.93333333,1.866666667,50,40,90
19931855,fMRI,Functional MRI,,,33.8175,9.395,49,11,60
21878364,fMRI,Functional MRI,,,20.63666667,1.416666667,46,40,86
26678871,fMRI,Functional MRI,,,26.05,5.21,30,8,38
9547077,PET,PET,,,27,5,0,6,6
21146615,fMRI,Functional MRI,8.3,11.1,9.95,,18,10,28
17276088,fMRI,Functional MRI,,,27,,7,8,15
22363406,fMRI,Functional MRI,,,29.5,5.6,9,10,19
18258337,fMRI,Functional MRI,,,56,3.666666667,31,17,48
19685956,fMRI,Functional MRI,,,20.15,1.9,19,0,19
15753240,fMRI,Functional MRI,,,51.25,8.1,0,26,26
19136097,fMRI,Functional MRI,20,48,32.95,8.3,15,13,28
21305663,fMRI,Functional MRI,,,25,0.8,9,3,12
29880255,,,,,,,,,
23946385,,,,,,,,,
12763188,,,,,,,,,
26630882,,,,,,,,,
10666562,,,,,,,,,
29444466,,,,,,,,,
9549487,,,,,,,,,
27418025,,,,,,,,,
23874935,,,,,,,,,
10689056,,,,,,,,,
22349864,,,,,,,,,
21889947,,,,,,,,,
28470553,,,,,,,,,
11049665,,,,,,,,,
29733816,,,,,,,,,
29885085,,,,,,,,,
23474094,,,,,,,,,
28377158,,,,,,,,,
27454009,,,,,,,,,
28847492,,,,,,,,,
23078273,,,,,,,,,
15882649,,,,,,,,,
16165102,,,,,,,,,
25444089,,,,,,,,,
23674488,,,,,,,,,
21586596,,,,,,,,,
15483134,,,,,,,,,
11168545,,,,,,,,,
11074084,,,,,,,,,
23352757,,,,,,,,,
27194340,,,,,,,,,
23433857,,,,,,,,,
19429079,,,,,,,,,
28474292,,,,,,,,,
27814379,,,,,,,,,
15006657,,,,,,,,,
27672554,,,,,,,,,
25716010,,,,,,,,,
27378890,,,,,,,,,
27250879,,,,,,,,,
24019499,,,,,,,,,
25324714,,,,,,,,,
22715326,,,,,,,,,
26363618,,,,,,,,,
26204524,,,,,,,,,
29322583,,,,,,,,,
21179436,,,,,,,,,
15993573,,,,,,,,,
26055423,,,,,,,,,
25578794,,,,,,,,,
28477977,,,,,,,,,
29024192,,,,,,,,,
22659111,,,,,,,,,
23015426,,,,,,,,,
24844748,,,,,,,,,
21590504,,,,,,,,,
9808463,,,,,,,,,
24321556,,,,,,,,,
23522878,,,,,,,,,
12486175,,,,,,,,,
17089376,,,,,,,,,
17509898,,,,,,,,,
18155446,,,,,,,,,
19397867,,,,,,,,,
10974961,,,,,,,,,
10480271,,,,,,,,,
15528081,,,,,,,,,
24872554,,,,,,,,,
16150579,,,,,,,,,
26790868,,,,,,,,,
21854858,,,,,,,,,
26253009,,,,,,,,,
18587523,,,,,,,,,
25140051,,,,,,,,,
12814580,,,,,,,,,
26506229,,,,,,,,,
22868048,,,,,,,,,
