STRUCTURE,CLUSTER,DOMAIN,TITLE
left_brainstem,1,AROUSAL,Arousal
right_brainstem,1,AROUSAL,Arousal
left_middle_frontal_gyrus,2,MANIPULATION,Manipulation
left_postcentral_gyrus,2,MANIPULATION,Manipulation
left_precentral_gyrus,2,MANIPULATION,Manipulation
left_superior_frontal_gyrus,2,MANIPULATION,Manipulation
left_supplementary_motor_cortex,2,MANIPULATION,Manipulation
left_supramarginal_gyrus_anterior_division,2,MANIPULATION,Manipulation
right_inferior_frontal_gyrus_pars_opercularis,2,MANIPULATION,Manipulation
right_middle_frontal_gyrus,2,MANIPULATION,Manipulation
right_postcentral_gyrus,2,MANIPULATION,Manipulation
right_precentral_gyrus,2,MANIPULATION,Manipulation
right_superior_frontal_gyrus,2,MANIPULATION,Manipulation
right_supplementary_motor_cortex,2,MANIPULATION,Manipulation
left_amygdala,3,EMOTION,Emotion
left_hippocampus,3,EMOTION,Emotion
left_parahippocampal_gyrus_anterior_division,3,EMOTION,Emotion
right_amygdala,3,EMOTION,Emotion
right_hippocampus,3,EMOTION,Emotion
right_parahippocampal_gyrus_anterior_division,3,EMOTION,Emotion
right_parahippocampal_gyrus_posterior_division,3,EMOTION,Emotion
left_lingual_gyrus,4,MEMORY,Memory
left_parahippocampal_gyrus_posterior_division,4,MEMORY,Memory
left_temporal_fusiform_cortex_posterior_division,4,MEMORY,Memory
left_temporal_occipital_fusiform_cortex,4,MEMORY,Memory
right_lingual_gyrus,4,MEMORY,Memory
left_caudate,5,REWARD,Reward
left_pallidum,5,REWARD,Reward
left_putamen,5,REWARD,Reward
right_caudate,5,REWARD,Reward
right_pallidum,5,REWARD,Reward
right_putamen,5,REWARD,Reward
left_middle_temporal_gyrus_anterior_division,6,LANGUAGE,Language
left_superior_temporal_gyrus_anterior_division,6,LANGUAGE,Language
left_cingulate_gyrus_posterior_division,7,EPISODIC_MEMORY,Episodic Memory
left_precuneous_cortex,7,EPISODIC_MEMORY,Episodic Memory
right_cingulate_gyrus_posterior_division,7,EPISODIC_MEMORY,Episodic Memory
left_central_opercular_cortex,8,HEARING,Hearing
left_heschls_gyrus,8,HEARING,Hearing
left_parietal_operculum_cortex,8,HEARING,Hearing
left_planum_polare,8,HEARING,Hearing
left_planum_temporale,8,HEARING,Hearing
left_superior_temporal_gyrus_posterior_division,8,HEARING,Hearing
right_heschls_gyrus,8,HEARING,Hearing
right_superior_temporal_gyrus_posterior_division,8,HEARING,Hearing
right_inferior_temporal_gyrus_posterior_division,9,RECALL,Recall
right_temporal_fusiform_cortex_posterior_division,9,RECALL,Recall
right_accumbens,10,DECISION_MAKING,Decision Making
left_angular_gyrus,11,VISION,Vision
left_lateral_occipital_cortex_superior_division,11,VISION,Vision
left_superior_parietal_lobule,11,VISION,Vision
left_supramarginal_gyrus_posterior_division,11,VISION,Vision
left_cerebellar_vermis,12,EXECUTION,Execution
left_frontal_operculum_cortex,13,MEANING,Meaning
left_frontal_orbital_cortex,13,MEANING,Meaning
left_frontal_pole,13,MEANING,Meaning
left_inferior_frontal_gyrus_pars_opercularis,13,MEANING,Meaning
left_inferior_frontal_gyrus_pars_triangularis,13,MEANING,Meaning
left_cingulate_gyrus_anterior_division,14,COGNITIVE_PROCESS,Cognitive Process
left_insular_cortex,14,COGNITIVE_PROCESS,Cognitive Process
left_paracingulate_gyrus,14,COGNITIVE_PROCESS,Cognitive Process
right_cingulate_gyrus_anterior_division,14,COGNITIVE_PROCESS,Cognitive Process
right_frontal_operculum_cortex,14,COGNITIVE_PROCESS,Cognitive Process
right_frontal_orbital_cortex,14,COGNITIVE_PROCESS,Cognitive Process
right_frontal_pole,14,COGNITIVE_PROCESS,Cognitive Process
right_inferior_frontal_gyrus_pars_triangularis,14,COGNITIVE_PROCESS,Cognitive Process
right_insular_cortex,14,COGNITIVE_PROCESS,Cognitive Process
right_paracingulate_gyrus,14,COGNITIVE_PROCESS,Cognitive Process
right_inferior_temporal_gyrus_anterior_division,15,ENCODING,Encoding
right_temporal_fusiform_cortex_anterior_division,15,ENCODING,Encoding
left_subcallosal_cortex,16,SALIENCE,Salience
left_temporal_fusiform_cortex_anterior_division,17,SEMANTIC_MEMORY,Semantic Memory
right_central_opercular_cortex,18,PERCEPTION,Perception
right_parietal_operculum_cortex,18,PERCEPTION,Perception
right_planum_temporale,18,PERCEPTION,Perception
right_supramarginal_gyrus_anterior_division,18,PERCEPTION,Perception
left_cerebellar_crus,19,MOVEMENT,Movement
left_cerebellar_lobules,19,MOVEMENT,Movement
right_cerebellar_crus,19,MOVEMENT,Movement
right_cerebellar_lobules,19,MOVEMENT,Movement
right_angular_gyrus,20,ATTENTION,Attention
right_lateral_occipital_cortex_superior_division,20,ATTENTION,Attention
right_middle_temporal_gyrus_temporooccipital_part,20,ATTENTION,Attention
right_precuneous_cortex,20,ATTENTION,Attention
right_superior_parietal_lobule,20,ATTENTION,Attention
right_supramarginal_gyrus_posterior_division,20,ATTENTION,Attention
right_middle_temporal_gyrus_anterior_division,21,SPEECH,Speech
right_middle_temporal_gyrus_posterior_division,21,SPEECH,Speech
right_planum_polare,21,SPEECH,Speech
right_superior_temporal_gyrus_anterior_division,21,SPEECH,Speech
left_inferior_temporal_gyrus_posterior_division,22,WORD,Word
left_inferior_temporal_gyrus_temporooccipital_part,22,WORD,Word
left_middle_temporal_gyrus_posterior_division,22,WORD,Word
left_middle_temporal_gyrus_temporooccipital_part,22,WORD,Word
right_subcallosal_cortex,23,MOOD,Mood
left_temporal_pole,24,SOCIAL_COGNITION,Social Cognition
right_temporal_pole,24,SOCIAL_COGNITION,Social Cognition
left_cuneal_cortex,25,FAMILIARITY,Familiarity
left_intracalcarine_cortex,25,FAMILIARITY,Familiarity
left_supracalcarine_cortex,25,FAMILIARITY,Familiarity
left_accumbens,26,LOSS,Loss
right_cuneal_cortex,27,REMEMBERING,Remembering
right_intracalcarine_cortex,27,REMEMBERING,Remembering
right_supracalcarine_cortex,27,REMEMBERING,Remembering
left_lateral_occipital_cortex_inferior_division,28,EYE,Eye
left_occipital_fusiform_gyrus,28,EYE,Eye
left_occipital_pole,28,EYE,Eye
right_inferior_temporal_gyrus_temporooccipital_part,28,EYE,Eye
right_lateral_occipital_cortex_inferior_division,28,EYE,Eye
right_occipital_fusiform_gyrus,28,EYE,Eye
right_occipital_pole,28,EYE,Eye
right_temporal_occipital_fusiform_cortex,28,EYE,Eye
left_thalamus,29,ANTICIPATION,Anticipation
right_thalamus,29,ANTICIPATION,Anticipation
left_inferior_temporal_gyrus_anterior_division,30,RETRIEVAL,Retrieval
left_frontal_medial_cortex,31,THOUGHT,Thought
right_frontal_medial_cortex,31,THOUGHT,Thought
right_cerebellar_vermis,32,MOTOR_CONTROL,Motor Control
