STRUCTURE,CLUSTER,DOMAIN,TITLE
left_cingulate_gyrus_posterior_division,1,MEMORY,Memory
right_cingulate_gyrus_posterior_division,1,MEMORY,Memory
right_postcentral_gyrus,2,EXECUTION,Execution
right_precentral_gyrus,2,EXECUTION,Execution
right_supramarginal_gyrus_anterior_division,2,EXECUTION,Execution
right_middle_temporal_gyrus_anterior_division,3,LANGUAGE,Language
right_middle_temporal_gyrus_posterior_division,3,LANGUAGE,Language
right_superior_temporal_gyrus_anterior_division,3,LANGUAGE,Language
right_superior_temporal_gyrus_posterior_division,3,LANGUAGE,Language
left_frontal_pole,4,MEANING,Meaning
left_inferior_frontal_gyrus_pars_opercularis,4,MEANING,Meaning
left_inferior_frontal_gyrus_pars_triangularis,4,MEANING,Meaning
left_middle_frontal_gyrus,4,MEANING,Meaning
left_precentral_gyrus,4,MEANING,Meaning
left_superior_frontal_gyrus,4,MEANING,Meaning
right_hippocampus,5,ENCODING,Encoding
right_parahippocampal_gyrus_anterior_division,5,ENCODING,Encoding
left_inferior_temporal_gyrus_temporooccipital_part,6,VISION,Vision
left_occipital_fusiform_gyrus,6,VISION,Vision
left_temporal_fusiform_cortex_posterior_division,6,VISION,Vision
left_temporal_occipital_fusiform_cortex,6,VISION,Vision
left_pallidum,7,REWARD,Reward
left_putamen,7,REWARD,Reward
right_accumbens,8,DECISION_MAKING,Decision Making
right_cuneal_cortex,9,EPISODIC_MEMORY,Episodic Memory
right_precuneous_cortex,9,EPISODIC_MEMORY,Episodic Memory
right_supracalcarine_cortex,9,EPISODIC_MEMORY,Episodic Memory
right_inferior_temporal_gyrus_posterior_division,10,RECOGNITION,Recognition
right_temporal_fusiform_cortex_posterior_division,10,RECOGNITION,Recognition
left_cerebellar_vermis,11,MOVEMENT,Movement
left_occipital_pole,12,REPRESENTATION,Representation
right_occipital_pole,12,REPRESENTATION,Representation
left_heschls_gyrus,13,HEARING,Hearing
left_parietal_operculum_cortex,13,HEARING,Hearing
left_planum_polare,13,HEARING,Hearing
left_planum_temporale,13,HEARING,Hearing
right_frontal_operculum_cortex,14,COGNITION,Cognition
right_frontal_orbital_cortex,14,COGNITION,Cognition
right_inferior_frontal_gyrus_pars_opercularis,14,COGNITION,Cognition
right_inferior_frontal_gyrus_pars_triangularis,14,COGNITION,Cognition
left_inferior_temporal_gyrus_posterior_division,15,SEMANTIC_PROCESSING,Semantic Processing
left_subcallosal_cortex,16,AROUSAL,Arousal
left_cingulate_gyrus_anterior_division,17,COGNITIVE_PROCESS,Cognitive Process
left_paracingulate_gyrus,17,COGNITIVE_PROCESS,Cognitive Process
right_cingulate_gyrus_anterior_division,17,COGNITIVE_PROCESS,Cognitive Process
right_paracingulate_gyrus,17,COGNITIVE_PROCESS,Cognitive Process
right_inferior_temporal_gyrus_anterior_division,18,RECOGNITION_MEMORY,Recognition Memory
right_temporal_fusiform_cortex_anterior_division,18,RECOGNITION_MEMORY,Recognition Memory
left_cerebellar_crus,19,MOTOR_CONTROL,Motor Control
left_cerebellar_lobules,19,MOTOR_CONTROL,Motor Control
right_cerebellar_crus,19,MOTOR_CONTROL,Motor Control
right_cerebellar_lobules,19,MOTOR_CONTROL,Motor Control
left_angular_gyrus,20,MANIPULATION,Manipulation
left_lateral_occipital_cortex_superior_division,20,MANIPULATION,Manipulation
left_precuneous_cortex,20,MANIPULATION,Manipulation
left_superior_parietal_lobule,20,MANIPULATION,Manipulation
left_supramarginal_gyrus_posterior_division,20,MANIPULATION,Manipulation
right_angular_gyrus,20,MANIPULATION,Manipulation
right_lateral_occipital_cortex_superior_division,20,MANIPULATION,Manipulation
right_superior_parietal_lobule,20,MANIPULATION,Manipulation
right_supramarginal_gyrus_posterior_division,20,MANIPULATION,Manipulation
right_subcallosal_cortex,21,MOOD,Mood
left_cuneal_cortex,22,FAMILIARITY,Familiarity
left_intracalcarine_cortex,22,FAMILIARITY,Familiarity
left_supracalcarine_cortex,22,FAMILIARITY,Familiarity
left_central_opercular_cortex,23,WORD,Word
left_frontal_operculum_cortex,23,WORD,Word
left_frontal_orbital_cortex,23,WORD,Word
left_insular_cortex,23,WORD,Word
right_insular_cortex,23,WORD,Word
left_brainstem,24,VALENCE,Valence
left_accumbens,25,LOSS,Loss
left_temporal_pole,26,EMOTION,Emotion
right_temporal_pole,26,EMOTION,Emotion
left_middle_temporal_gyrus_anterior_division,27,LANGUAGE_PROCESSING,Language Processing
left_superior_temporal_gyrus_anterior_division,27,LANGUAGE_PROCESSING,Language Processing
left_caudate,28,REWARD_PROCESSING,Reward Processing
left_thalamus,29,ANTICIPATION,Anticipation
right_thalamus,29,ANTICIPATION,Anticipation
right_caudate,30,EXPECTANCY,Expectancy
left_frontal_medial_cortex,31,THOUGHT,Thought
right_frontal_medial_cortex,31,THOUGHT,Thought
right_heschls_gyrus,32,SPEECH,Speech
right_planum_polare,32,SPEECH,Speech
left_lateral_occipital_cortex_inferior_division,33,EYE,Eye
right_inferior_temporal_gyrus_temporooccipital_part,33,EYE,Eye
right_lateral_occipital_cortex_inferior_division,33,EYE,Eye
right_middle_temporal_gyrus_temporooccipital_part,33,EYE,Eye
right_occipital_fusiform_gyrus,33,EYE,Eye
right_cerebellar_vermis,34,COORDINATION,Coordination
right_pallidum,35,FEEDBACK,Feedback
right_putamen,35,FEEDBACK,Feedback
left_inferior_temporal_gyrus_anterior_division,36,RETRIEVAL,Retrieval
left_temporal_fusiform_cortex_anterior_division,36,RETRIEVAL,Retrieval
left_lingual_gyrus,37,MEMORY_RETRIEVAL,Memory Retrieval
right_intracalcarine_cortex,37,MEMORY_RETRIEVAL,Memory Retrieval
right_lingual_gyrus,37,MEMORY_RETRIEVAL,Memory Retrieval
right_temporal_occipital_fusiform_cortex,37,MEMORY_RETRIEVAL,Memory Retrieval
right_central_opercular_cortex,38,PERCEPTION,Perception
right_parietal_operculum_cortex,38,PERCEPTION,Perception
right_planum_temporale,38,PERCEPTION,Perception
left_amygdala,39,RECALL,Recall
left_hippocampus,39,RECALL,Recall
left_parahippocampal_gyrus_anterior_division,39,RECALL,Recall
left_parahippocampal_gyrus_posterior_division,39,RECALL,Recall
right_supplementary_motor_cortex,40,PREPARATION,Preparation
right_frontal_pole,41,REACTION_TIME,Reaction Time
right_middle_frontal_gyrus,41,REACTION_TIME,Reaction Time
right_superior_frontal_gyrus,41,REACTION_TIME,Reaction Time
left_postcentral_gyrus,42,HAND,Hand
left_supplementary_motor_cortex,42,HAND,Hand
left_supramarginal_gyrus_anterior_division,42,HAND,Hand
left_middle_temporal_gyrus_posterior_division,43,READING,Reading
left_middle_temporal_gyrus_temporooccipital_part,43,READING,Reading
left_superior_temporal_gyrus_posterior_division,43,READING,Reading
right_parahippocampal_gyrus_posterior_division,44,REMEMBERING,Remembering
right_amygdala,45,FEAR,Fear
right_brainstem,46,ANGER,Anger
