STRUCTURE,CLUSTER,DOMAIN,TITLE
left_central_opercular_cortex,1,PERCEPTION,Perception
right_central_opercular_cortex,1,PERCEPTION,Perception
right_heschls_gyrus,1,PERCEPTION,Perception
right_parietal_operculum_cortex,1,PERCEPTION,Perception
right_planum_polare,1,PERCEPTION,Perception
right_planum_temporale,1,PERCEPTION,Perception
left_amygdala,2,MEMORY,Memory
left_hippocampus,2,MEMORY,Memory
left_parahippocampal_gyrus_anterior_division,2,MEMORY,Memory
left_parahippocampal_gyrus_posterior_division,2,MEMORY,Memory
left_angular_gyrus,3,VISION,Vision
left_lateral_occipital_cortex_inferior_division,3,VISION,Vision
left_lateral_occipital_cortex_superior_division,3,VISION,Vision
left_occipital_pole,3,VISION,Vision
left_precuneous_cortex,3,VISION,Vision
left_superior_parietal_lobule,3,VISION,Vision
left_supramarginal_gyrus_posterior_division,3,VISION,Vision
right_angular_gyrus,3,VISION,Vision
right_lateral_occipital_cortex_inferior_division,3,VISION,Vision
right_lateral_occipital_cortex_superior_division,3,VISION,Vision
right_middle_temporal_gyrus_temporooccipital_part,3,VISION,Vision
right_occipital_fusiform_gyrus,3,VISION,Vision
right_occipital_pole,3,VISION,Vision
right_precuneous_cortex,3,VISION,Vision
right_superior_parietal_lobule,3,VISION,Vision
right_supramarginal_gyrus_posterior_division,3,VISION,Vision
left_frontal_operculum_cortex,4,MEANING,Meaning
left_frontal_orbital_cortex,4,MEANING,Meaning
left_frontal_pole,4,MEANING,Meaning
left_insular_cortex,4,MEANING,Meaning
left_temporal_pole,4,MEANING,Meaning
right_frontal_operculum_cortex,4,MEANING,Meaning
right_frontal_orbital_cortex,4,MEANING,Meaning
right_temporal_pole,4,MEANING,Meaning
right_subcallosal_cortex,5,AROUSAL,Arousal
left_heschls_gyrus,6,HEARING,Hearing
left_planum_polare,6,HEARING,Hearing
left_planum_temporale,6,HEARING,Hearing
right_middle_temporal_gyrus_anterior_division,6,HEARING,Hearing
right_middle_temporal_gyrus_posterior_division,6,HEARING,Hearing
right_superior_temporal_gyrus_anterior_division,6,HEARING,Hearing
right_superior_temporal_gyrus_posterior_division,6,HEARING,Hearing
left_cingulate_gyrus_anterior_division,7,COGNITION,Cognition
left_paracingulate_gyrus,7,COGNITION,Cognition
left_thalamus,7,COGNITION,Cognition
right_cingulate_gyrus_anterior_division,7,COGNITION,Cognition
right_frontal_pole,7,COGNITION,Cognition
right_insular_cortex,7,COGNITION,Cognition
right_paracingulate_gyrus,7,COGNITION,Cognition
right_superior_frontal_gyrus,7,COGNITION,Cognition
right_thalamus,7,COGNITION,Cognition
left_cerebellar_crus,8,EXECUTION,Execution
left_cerebellar_lobules,8,EXECUTION,Execution
left_cerebellar_vermis,8,EXECUTION,Execution
right_cerebellar_crus,8,EXECUTION,Execution
right_cerebellar_lobules,8,EXECUTION,Execution
right_inferior_temporal_gyrus_anterior_division,9,EPISODIC_MEMORY,Episodic Memory
right_inferior_temporal_gyrus_posterior_division,9,EPISODIC_MEMORY,Episodic Memory
right_temporal_fusiform_cortex_anterior_division,9,EPISODIC_MEMORY,Episodic Memory
left_inferior_temporal_gyrus_temporooccipital_part,10,RECOGNITION,Recognition
left_lingual_gyrus,10,RECOGNITION,Recognition
left_occipital_fusiform_gyrus,10,RECOGNITION,Recognition
left_temporal_fusiform_cortex_posterior_division,10,RECOGNITION,Recognition
left_temporal_occipital_fusiform_cortex,10,RECOGNITION,Recognition
right_inferior_temporal_gyrus_temporooccipital_part,10,RECOGNITION,Recognition
right_temporal_occipital_fusiform_cortex,10,RECOGNITION,Recognition
left_pallidum,11,REWARD,Reward
left_putamen,11,REWARD,Reward
right_pallidum,11,REWARD,Reward
right_putamen,11,REWARD,Reward
left_inferior_frontal_gyrus_pars_opercularis,12,MANIPULATION,Manipulation
left_inferior_frontal_gyrus_pars_triangularis,12,MANIPULATION,Manipulation
left_middle_frontal_gyrus,12,MANIPULATION,Manipulation
left_precentral_gyrus,12,MANIPULATION,Manipulation
left_superior_frontal_gyrus,12,MANIPULATION,Manipulation
left_supplementary_motor_cortex,12,MANIPULATION,Manipulation
right_inferior_frontal_gyrus_pars_opercularis,12,MANIPULATION,Manipulation
right_inferior_frontal_gyrus_pars_triangularis,12,MANIPULATION,Manipulation
right_middle_frontal_gyrus,12,MANIPULATION,Manipulation
left_accumbens,13,DECISION_MAKING,Decision Making
right_accumbens,13,DECISION_MAKING,Decision Making
left_brainstem,14,ANTICIPATION,Anticipation
right_brainstem,14,ANTICIPATION,Anticipation
left_cingulate_gyrus_posterior_division,15,RECALL,Recall
left_cuneal_cortex,15,RECALL,Recall
left_intracalcarine_cortex,15,RECALL,Recall
left_supracalcarine_cortex,15,RECALL,Recall
right_cingulate_gyrus_posterior_division,15,RECALL,Recall
right_cuneal_cortex,15,RECALL,Recall
right_intracalcarine_cortex,15,RECALL,Recall
right_lingual_gyrus,15,RECALL,Recall
right_supracalcarine_cortex,15,RECALL,Recall
left_inferior_temporal_gyrus_anterior_division,16,RETRIEVAL,Retrieval
left_temporal_fusiform_cortex_anterior_division,16,RETRIEVAL,Retrieval
right_cerebellar_vermis,17,MOVEMENT,Movement
right_amygdala,18,EMOTION,Emotion
right_hippocampus,18,EMOTION,Emotion
right_parahippocampal_gyrus_anterior_division,18,EMOTION,Emotion
right_parahippocampal_gyrus_posterior_division,18,EMOTION,Emotion
right_temporal_fusiform_cortex_posterior_division,18,EMOTION,Emotion
left_inferior_temporal_gyrus_posterior_division,19,LANGUAGE,Language
left_middle_temporal_gyrus_anterior_division,19,LANGUAGE,Language
left_middle_temporal_gyrus_posterior_division,19,LANGUAGE,Language
left_middle_temporal_gyrus_temporooccipital_part,19,LANGUAGE,Language
left_superior_temporal_gyrus_anterior_division,19,LANGUAGE,Language
left_superior_temporal_gyrus_posterior_division,19,LANGUAGE,Language
left_frontal_medial_cortex,20,THOUGHT,Thought
right_frontal_medial_cortex,20,THOUGHT,Thought
left_parietal_operculum_cortex,21,HAND,Hand
left_postcentral_gyrus,21,HAND,Hand
left_supramarginal_gyrus_anterior_division,21,HAND,Hand
right_postcentral_gyrus,21,HAND,Hand
right_precentral_gyrus,21,HAND,Hand
right_supplementary_motor_cortex,21,HAND,Hand
right_supramarginal_gyrus_anterior_division,21,HAND,Hand
left_subcallosal_cortex,22,SALIENCE,Salience
left_caudate,23,FEEDBACK,Feedback
right_caudate,23,FEEDBACK,Feedback
