STRUCTURE,CLUSTER,DOMAIN,TITLE
right_inferior_temporal_gyrus_temporooccipital_part,1,PERCEPTION,Perception
right_middle_temporal_gyrus_temporooccipital_part,1,PERCEPTION,Perception
right_temporal_occipital_fusiform_cortex,1,PERCEPTION,Perception
left_central_opercular_cortex,2,HEARING,Hearing
left_heschls_gyrus,2,HEARING,Hearing
left_parietal_operculum_cortex,2,HEARING,Hearing
left_planum_polare,2,HEARING,Hearing
left_planum_temporale,2,HEARING,Hearing
left_superior_temporal_gyrus_posterior_division,2,HEARING,Hearing
right_central_opercular_cortex,2,HEARING,Hearing
right_heschls_gyrus,2,HEARING,Hearing
right_middle_temporal_gyrus_posterior_division,2,HEARING,Hearing
right_parietal_operculum_cortex,2,HEARING,Hearing
right_planum_polare,2,HEARING,Hearing
right_planum_temporale,2,HEARING,Hearing
right_superior_temporal_gyrus_anterior_division,2,HEARING,Hearing
right_superior_temporal_gyrus_posterior_division,2,HEARING,Hearing
right_amygdala,3,EMOTION,Emotion
right_hippocampus,3,EMOTION,Emotion
left_cingulate_gyrus_anterior_division,4,COGNITION,Cognition
left_cingulate_gyrus_posterior_division,4,COGNITION,Cognition
left_frontal_pole,4,COGNITION,Cognition
left_inferior_frontal_gyrus_pars_opercularis,4,COGNITION,Cognition
left_inferior_frontal_gyrus_pars_triangularis,4,COGNITION,Cognition
left_middle_frontal_gyrus,4,COGNITION,Cognition
left_paracingulate_gyrus,4,COGNITION,Cognition
left_precuneous_cortex,4,COGNITION,Cognition
left_superior_frontal_gyrus,4,COGNITION,Cognition
left_supplementary_motor_cortex,4,COGNITION,Cognition
left_frontal_operculum_cortex,5,COGNITIVE_PROCESS,Cognitive Process
left_frontal_orbital_cortex,5,COGNITIVE_PROCESS,Cognitive Process
left_insular_cortex,5,COGNITIVE_PROCESS,Cognitive Process
left_temporal_pole,5,COGNITIVE_PROCESS,Cognitive Process
right_cingulate_gyrus_anterior_division,5,COGNITIVE_PROCESS,Cognitive Process
right_frontal_operculum_cortex,5,COGNITIVE_PROCESS,Cognitive Process
right_frontal_orbital_cortex,5,COGNITIVE_PROCESS,Cognitive Process
right_frontal_pole,5,COGNITIVE_PROCESS,Cognitive Process
right_inferior_frontal_gyrus_pars_triangularis,5,COGNITIVE_PROCESS,Cognitive Process
right_insular_cortex,5,COGNITIVE_PROCESS,Cognitive Process
