,negative,positive,cognitive,social,arousal_regulatory
1402966,0.1348314606741573,0.2459016393442623,0.12195121951219512,0.07547169811320754,0.13333333333333333
1410086,0.14606741573033707,0.14754098360655737,0.14634146341463414,0.07547169811320754,0.12380952380952381
1448149,0.033707865168539325,0.01639344262295082,0.036585365853658534,0.018867924528301886,0.047619047619047616
1486459,0.033707865168539325,0.13114754098360656,0.2804878048780488,0.24528301886792453,0.13333333333333333
1486460,0.06741573033707865,0.06557377049180328,0.2682926829268293,0.20754716981132076,0.1523809523809524
1519476,0.0449438202247191,0.16393442622950818,0.14634146341463414,0.1509433962264151,0.08571428571428572
1527602,0.25842696629213485,0.2459016393442623,0.2926829268292683,0.2830188679245283,0.24761904761904763
1542680,0.0449438202247191,0.14754098360655737,0.12195121951219512,0.11320754716981132,0.05714285714285714
1613546,0.056179775280898875,0.09836065573770492,0.13414634146341464,0.1320754716981132,0.10476190476190476
1633409,0.10112359550561797,0.11475409836065574,0.1951219512195122,0.1320754716981132,0.1619047619047619
1679944,0.056179775280898875,0.11475409836065574,0.15853658536585366,0.1509433962264151,0.09523809523809523
1791928,0.056179775280898875,0.16393442622950818,0.25609756097560976,0.20754716981132076,0.13333333333333333
1822545,0.06741573033707865,0.14754098360655737,0.14634146341463414,0.11320754716981132,0.1523809523809524
1869921,0.0898876404494382,0.26229508196721313,0.2804878048780488,0.16981132075471697,0.1619047619047619
1875248,0.07865168539325842,0.16393442622950818,0.08536585365853659,0.1509433962264151,0.10476190476190476
1884179,0.056179775280898875,0.21311475409836064,0.2926829268292683,0.20754716981132076,0.17142857142857143
1929214,0.056179775280898875,0.09836065573770492,0.10975609756097561,0.05660377358490566,0.10476190476190476
2296583,0.056179775280898875,0.13114754098360656,0.18292682926829268,0.1509433962264151,0.10476190476190476
2360050,0.056179775280898875,0.16393442622950818,0.10975609756097561,0.05660377358490566,0.12380952380952381
2396097,0.056179775280898875,0.11475409836065574,0.1951219512195122,0.1509433962264151,0.08571428571428572
3277066,0.0449438202247191,0.09836065573770492,0.14634146341463414,0.1320754716981132,0.11428571428571428
