,OBSERVED,P,FDR,STARS
MEMORY,1.0732199134054978,0.0,0.0,*
REWARD,1.0566426888242144,0.0,0.0,*
COGNITION,1.0200645043497267,0.0,0.0,*
VISION,1.0961778713728387,0.0,0.0,*
MANIPULATION,1.1829316782778694,0.0,0.0,*
LANGUAGE,1.150163431621003,0.0,0.0,*
