,OBSERVED,P,FDR,STARS
MEMORY,1.07444223762214,0.0,0.0,*
REWARD,1.0624151050856485,0.0,0.0,*
COGNITION,1.0332164498865835,0.0,0.0,*
MANIPULATION,1.1790635447494628,0.0,0.0,*
VISION,1.0971123894069088,0.0,0.0,*
LANGUAGE,1.1380113152392315,0.0,0.0,*
