,OBSERVED,P,FDR,STARS
NEGATIVE_VALENCE,1.0515907333353904,0.0,0.0,*
POSITIVE_VALENCE,1.045438451008254,0.0,0.0,*
COGNITIVE_SYSTEMS,1.1163097392944221,0.0,0.0,*
SOCIAL_PROCESSES,1.0508720563427456,0.0,0.0,*
AROUSAL_REGULATION,1.0254413608843802,0.0,0.0,*
SENSORIMOTOR_SYSTEMS,1.071641748220286,0.0,0.0,*
